"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_ecuadorensis",-0.6667,-80.0833,"CWR_OCC","H","Bioversity","1972892","2416941","","Cucurbita","Ecuador","",""
"2","Cucurbita_ecuadorensis",-2.205842,-79.907948,"CWR_OCC","H","HUH","20011","2677829","","Cucurbita","Ecuador","South America;South America;Ecuador;Guayas;",""
"3","Cucurbita_ecuadorensis",-2.205842,-79.907948,"CWR_OCC","H","HUH","24034","2677830","","Cucurbita","Ecuador","South America;South America;Ecuador;Guayas;",""
"4","Cucurbita_ecuadorensis",-1.054579,-80.454448,"CWR_OCC","H","Bioversity","","3112772","","Cucurbita","Ecuador","5 km. SW of Portoviejo on road to La Pila (and Jipijapa)",""
"5","Cucurbita_ecuadorensis",-2.205842,-79.907948,"CWR_OCC","H","Bioversity","","3340035","","Cucurbita","Ecuador","",""
"6","Cucurbita_ecuadorensis",-1.473406,-80.764389,"CWR_OCC","H","Andres","","19433633","","Cucurbita","Ecuador","Parroquia Machalilla. Parque Nacional Machalilla",""
"7","Cucurbita_ecuadorensis",-11.866667,-77.133333,"CWR_OCC","H","Andres","","19433763","","Cucurbita","Peru","Bay of Ventanilla",""
"8","Cucurbita_ecuadorensis",-11.866667,-77.133333,"CWR_OCC","H","Andres","","19433764","","Cucurbita","Peru","Bay of Ventanilla",""
"9","Cucurbita_ecuadorensis",-2.205842,-79.907948,"CWR_OCC","H","Andres","PI 432445","19433792","","Cucurbita","Ecuador","N 2 km. of Casco on road from Manta to Guayaquil",""
"10","Cucurbita_ecuadorensis",-1.054579,-80.454448,"CWR_OCC","H","Andres","PI 432441","19433907","","Cucurbita","Ecuador","entrance to INIAP Research Station near Portoviejo",""
"11","Cucurbita_ecuadorensis",0.35171,-78.122333,"CWR_OCC","H","Andres","","19433908","","Cucurbita","Ecuador","near Ambuqu  NE of Ibarra on Hwy. 1",""
"12","Cucurbita_ecuadorensis",0.35171,-78.122333,"CWR_OCC","H","Andres","","19433909","","Cucurbita","Ecuador","near Ambuqu  NE of Ibarra on Hwy. 1",""
"13","Cucurbita_ecuadorensis",-2.226222,-80.858725,"CWR_OCC","H","Andres","PI''s 432442  432443","19433910","","Cucurbita","Ecuador","km. 36 W on road from Guayaquil to Santa Elena",""
"14","Cucurbita_ecuadorensis",-2.205842,-79.907948,"CWR_OCC","H","Andres","","19433911","","Cucurbita","Ecuador","26 km. E of Guayaquil on road to Montero  INIAP Estacin Experimental Boliche  3/4 of the way down E side of station S from river",""
"15","Cucurbita_ecuadorensis",-1.883333,-79.95,"CWR_OCC","H","Andres","","19433914","","Cucurbita","Ecuador","road to Colina de Las Iguanas west of road Guayaquil-Daule  at Km. 19  due W of Pasquales",""
"16","Cucurbita_ecuadorensis",-1.054579,-80.454448,"CWR_OCC","H","Andres","PI 432444","19433915","","Cucurbita","Ecuador","near buildings of INIAP Research Station''s seed farm near Portoviejo",""
