"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_foetidissima",20.48,-98.89,"CWR_OCC","H","Bioversity","","2017588","","Cucurbita","Mexico","","cultivated"
"2","Cucurbita_foetidissima",20.48,-98.89,"CWR_OCC","H","Bioversity","","2017589","","Cucurbita","Mexico","","cultivated"
"3","Cucurbita_foetidissima",20.48,-98.89,"CWR_OCC","H","Bioversity","","2017590","","Cucurbita","Mexico","","cultivated"
"4","Cucurbita_foetidissima",21.3,-88.4,"CWR_OCC","H","Bioversity","","2017591","","Cucurbita","Mexico","Chuntzalam","wild"
"5","Cucurbita_foetidissima",28.41,-108.5,"CWR_OCC","H","Bioversity","","2017592","","Cucurbita","Mexico","Rancho Las Varas  12 km W-SW of Yepachic","wild"
"6","Cucurbita_foetidissima",41.602259,-87.25837,"CWR_OCC","H","Bioversity","94524","2416947","","Cucurbita","United States","",""
"7","Cucurbita_foetidissima",41.602259,-87.25837,"CWR_OCC","H","Bioversity","434790","2416948","","Cucurbita","United States","",""
"8","Cucurbita_foetidissima",27.3333,-102,"CWR_OCC","H","Bioversity","1928660","2416951","","Cucurbita","Mexico","",""
"9","Cucurbita_foetidissima",35.276085,-106.151235,"CWR_OCC","H","CPNWH","2701","2487705","","Cucurbita","United States","","wild"
"10","Cucurbita_foetidissima",37.298237,-113.026442,"CWR_OCC","H","CPNWH","V102406","2487706","","Cucurbita","United States","","wild"
"11","Cucurbita_foetidissima",40.13171,-104.757945,"CWR_OCC","H","Bioversity","","2603898","","Cucurbita","United States","0.6 miles E of junction with Weld County road 16 with patrick street. ENE of Fort Lupton. On road to new water treatment plant.",""
"12","Cucurbita_foetidissima",37.749102,-103.477631,"CWR_OCC","H","Bioversity","","2603899","","Cucurbita","United States","Vogel Canyon (SE Colorado)",""
"13","Cucurbita_foetidissima",37.753056,-106.108638,"CWR_OCC","H","Bioversity","","2603900","","Cucurbita","United States","Blufff lake Nature center; Section 16 Native",""
"14","Cucurbita_foetidissima",39.363315,-104.857639,"CWR_OCC","H","Bioversity","","2603901","","Cucurbita","United States","On railroad bank just South  of Castle Rock",""
"15","Cucurbita_foetidissima",38.306924,-104.612136,"CWR_OCC","H","Bioversity","","2603902","","Cucurbita","United States","Easi side of service road  I-25 at exit 110 (Pinon exit)  North of Pueblo.",""
