"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_lundelliana",17.1215,-89.6868,"CWR_OCC","H","CIAT","","2176","","Cucurbita","Guatemala","Tikal National Park  Remate Road  about km 14  in botanal!",""
"2","Cucurbita_lundelliana",17.1215,-89.6868,"CWR_OCC","H","CIAT","","2177","","Cucurbita","Guatemala","Tikal National Park  Remate Road  about km 15",""
"3","Cucurbita_lundelliana",17.2025,-89.7102,"CWR_OCC","H","CIAT","","2178","","Cucurbita","Guatemala","Tikal  common in airport clearing.",""
"4","Cucurbita_lundelliana",17.0091,-89.6775,"CWR_OCC","H","CIAT","","2179","","Cucurbita","Guatemala","Remate  on Tikal Road   about 6 km NE of the village.",""
"5","Cucurbita_lundelliana",17.0001,-89.7288,"CWR_OCC","H","CIAT","","2180","","Cucurbita","Guatemala","Remate  on Fallabon Road  about 8.5 km. East of village.",""
"6","Cucurbita_lundelliana",17.0495,-89.3829,"CWR_OCC","H","CIAT","","2181","","Cucurbita","Guatemala","Laguna Yaxja.",""
"7","Cucurbita_lundelliana",17.2025,-89.7102,"CWR_OCC","H","CIAT","","2182","","Cucurbita","Guatemala","Tikal",""
"8","Cucurbita_lundelliana",16.9095,-89.8829,"CWR_OCC","H","CIAT","","2183","","Cucurbita","Guatemala","Lake Petn Itz  Santa Elena",""
"9","Cucurbita_lundelliana",16.9635,-89.9203,"CWR_OCC","H","CIAT","","2184","","Cucurbita","Guatemala","Lake Petn Itz  San Andrs.",""
"10","Cucurbita_lundelliana",16.9681,-89.6961,"CWR_OCC","H","CIAT","","2185","","Cucurbita","Guatemala","Near Lago Petn Itz.",""
"11","Cucurbita_lundelliana",17.3871,-89.6435,"CWR_OCC","H","CIAT","","2186","","Cucurbita","Guatemala","Near Uaxactun.",""
"12","Cucurbita_lundelliana",17.2025,-89.6168,"CWR_OCC","H","CIAT","","2187","","Cucurbita","Guatemala","Parque Nacional Tikal. Lado oeste del taller de mantenimiento.",""
"13","Cucurbita_lundelliana",14.9792,-89.5222,"CWR_OCC","H","CIAT","","2188","","Cucurbita","Guatemala","Vicinity of Zacapa",""
"14","Cucurbita_lundelliana",14.9792,-89.5222,"CWR_OCC","H","CIAT","","2189","","Cucurbita","Guatemala","Vicinity of Zacapa",""
"15","Cucurbita_lundelliana",16.7881,-90.1214,"CWR_OCC","H","CIAT","","2190","","Cucurbita","Guatemala","La Libertad  Sitio arqueolgico La Joyanca (Lat/Long La Libertad)",""
"16","Cucurbita_lundelliana",16.1981,-89.4389,"CWR_OCC","H","CIAT","","2191","","Cucurbita","Guatemala","San Luis Petn",""
"17","Cucurbita_lundelliana",17.0181,-89.2288,"CWR_OCC","H","CIAT","","2192","","Cucurbita","Guatemala","4-5 miles W of Guatemala-British Honduras border",""
"18","Cucurbita_lundelliana",16.96,-89.43,"CWR_OCC","H","Bioversity","","2017593","","Cucurbita","Guatemala","El Cruzadero Melchor de Mencos",""
"19","Cucurbita_lundelliana",16.93,-89.51,"CWR_OCC","H","Bioversity","","2017594","","Cucurbita","Guatemala","El Zapote Melchor",""
"20","Cucurbita_lundelliana",14.5,-91.83,"CWR_OCC","H","Bioversity","","2017595","","Cucurbita","Guatemala","Retalheu",""
"21","Cucurbita_lundelliana",14.38,-90.58,"CWR_OCC","H","Bioversity","","2017596","","Cucurbita","Guatemala","La Maquina Cuyotenango",""
"22","Cucurbita_lundelliana",13.81,-90.15,"CWR_OCC","H","Bioversity","","2017597","","Cucurbita","Guatemala","Parc. Montufar Kms: 10",""
"23","Cucurbita_lundelliana",14.08,-90.85,"CWR_OCC","H","Bioversity","","2017598","","Cucurbita","Guatemala","Cuyuta Masagua",""
"24","Cucurbita_lundelliana",16.644437,-93.763251,"CWR_OCC","H","Bioversity","","2142245","","Cucurbita","Mexico","Mexico : Chiapas : Cintalapa",""
"25","Cucurbita_lundelliana",19.6667,-88.5,"CWR_OCC","H","Bioversity","2054297","2416952","","Cucurbita","Mexico","",""
"26","Cucurbita_lundelliana",20.8333,-89,"CWR_OCC","H","Bioversity","2179751","2416953","","Cucurbita","Mexico","",""
"27","Cucurbita_lundelliana",18.446341,-71.258049,"CWR_OCC","H","Andres","","19433616","","Cucurbita","Dominican Republic","along Ro Isabela  about 0.5 km. from town of Isabela",""
"28","Cucurbita_lundelliana",19.387232,-99.136464,"CWR_OCC","H","Andres","PI 532359","19433641","","Cucurbita","Mexico","along hwy. Mex. 293  2 km. SE of Valle Hermosa",""
"29","Cucurbita_lundelliana",19.194889,-88.535617,"CWR_OCC","H","Andres","PI 532358","19433642","","Cucurbita","Mexico","along hwy. Mex. 293  1 km. S of Emiliano Zapata and 2 km. NW of Valle Hermosa",""
"30","Cucurbita_lundelliana",18.523644,-89.677974,"CWR_OCC","H","Andres","PI 532361","19433643","","Cucurbita","Mexico","along hwy. Mex. 186  Puebla de Morelia  30 km. W of Xpujil",""
"31","Cucurbita_lundelliana",18.95,-90.733333,"CWR_OCC","H","Andres","","19433649","","Cucurbita","Mexico","vicinity of [Santa Maria] Xcabacab",""
"32","Cucurbita_lundelliana",19.416667,-99.066667,"CWR_OCC","H","Andres","PI 438697","19433796","","Cucurbita","Mexico","Unidad Agricola Xul Ha",""
"33","Cucurbita_lundelliana",15.033333,-90.366667,"CWR_OCC","H","Andres","","19433797","","Cucurbita","Guatemala","San Luis",""
"34","Cucurbita_lundelliana",16.95,-88.416667,"CWR_OCC","H","Andres","","19433876","","Cucurbita","Belize","Stann Creek Valley  Mountain Cow Ridge",""
"35","Cucurbita_lundelliana",16.95,-88.416667,"CWR_OCC","H","Andres","","19433877","","Cucurbita","Belize","Stann Creek valley  Big Eddy Ridge",""
"36","Cucurbita_lundelliana",15.433333,-88.95,"CWR_OCC","H","Andres","","19433948","","Cucurbita","Guatemala","Lake Petn Itz  Santa Elena",""
"37","Cucurbita_lundelliana",17.225,-89.613333,"CWR_OCC","H","Andres","","19433952","","Cucurbita","Guatemala","on Tikal road  about 6 km. NE of the village",""
"38","Cucurbita_lundelliana",17.068611,-89.152222,"CWR_OCC","H","Andres","","19433953","","Cucurbita","Guatemala","on Fallabon Road  ca. 8.5 km. E of village",""
"39","Cucurbita_lundelliana",15,-89.5,"CWR_OCC","H","Andres","","19433961","","Cucurbita","Guatemala","vicinity of Zacapa",""
"40","Cucurbita_lundelliana",-14.9,-22.283333,"GBIF","H","CATIE","1305089429","1305089429","UNKNOWN","Cucurbita","MX","","wild"
"41","Cucurbita_lundelliana",-14.9,-22.283333,"GBIF","H","CATIE","1305089417","1305089417","UNKNOWN","Cucurbita","MX","","wild"
"42","Cucurbita_lundelliana",11.41666,-84.88333,"GBIF","H","MO","1261261063","1261261063","PRESERVED_SPECIMEN","Cucurbita","NI","El Carmen  2 km al N de San Miguelito","wild"
"43","Cucurbita_lundelliana",11.425,-84.891667,"GBIF","H","MOBOT","1421513324","1421513324","PRESERVED_SPECIMEN","Cucurbita","NI","El Carmen  2 km al N de San Miguelito.","wild"
"44","Cucurbita_lundelliana",11.55,-85.56666,"GBIF","H","MO","1261259889","1261259889","PRESERVED_SPECIMEN","Cucurbita","NI","Isla Ometepe  VolcÃ¡n ConcepciÃ³n  localidad de Sarrem","wild"
"45","Cucurbita_lundelliana",11.558333,-85.575,"GBIF","H","RBG","1421515467","1421515467","PRESERVED_SPECIMEN","Cucurbita","NI","Isla Ometepe. VolcÃ¡n ConcepciÃ³n. Localidad de Sarrem.","wild"
"46","Cucurbita_lundelliana",11.901389,-85.441389,"GBIF","H","MO","1257802245","1257802245","PRESERVED_SPECIMEN","Cucurbita","NI","Near entrance to Punta Mayales  11 km SE of Juigalpa-Puerto DÃ­az road; gallery forest","wild"
"47","Cucurbita_lundelliana",13.81,-90.15,"GBIF","H","Bioversity","1302291862","1302291862","UNKNOWN","Cucurbita","GT","Parc. Montufar Kms: 10","wild"
"48","Cucurbita_lundelliana",13.816667,-90.15,"GBIF","G","ITAl001|GTM0003|GTM0907","1563540713","1563540713","LIVING_SPECIMEN","Cucurbita","GT","Parc. Montufar Kms: 10","wild"
"49","Cucurbita_lundelliana",14.08,-90.85,"GBIF","H","Bioversity","1302291881","1302291881","UNKNOWN","Cucurbita","GT","Cuyuta Masagua","wild"
"50","Cucurbita_lundelliana",14.083333,-90.85,"GBIF","G","ITAl001|GTM0003|GTM0907","1563536070","1563536070","LIVING_SPECIMEN","Cucurbita","GT","Cuyuta Masagua","wild"
"51","Cucurbita_lundelliana",14.3,-91.916667,"GBIF","H","CATIE","1305088460","1305088460","UNKNOWN","Cucurbita","GT","","wild"
"52","Cucurbita_lundelliana",14.38,-90.58,"GBIF","H","Bioversity","1302291843","1302291843","UNKNOWN","Cucurbita","GT","La Maquina Cuyotenango","wild"
"53","Cucurbita_lundelliana",14.383333,-90.583333,"GBIF","G","ITAl001|GTM0003|GTM0907","1563525494","1563525494","LIVING_SPECIMEN","Cucurbita","GT","La Maquina Cuyotenango","wild"
"54","Cucurbita_lundelliana",14.5,-91.833333,"GBIF","G","ITAl001|GTM0003|GTM0907","1563483907","1563483907","LIVING_SPECIMEN","Cucurbita","GT","Retalheu","wild"
"55","Cucurbita_lundelliana",14.5,-91.83,"GBIF","H","Bioversity","1302291825","1302291825","UNKNOWN","Cucurbita","GT","Retalheu","wild"
"56","Cucurbita_lundelliana",14.9792,-89.5222,"GBIF","H","CIAT","1300328522","1300328522","UNKNOWN","Cucurbita","GT","Vicinity of Zacapa","wild"
"57","Cucurbita_lundelliana",14.9792,-89.5222,"GBIF","H","CIAT","1300328510","1300328510","UNKNOWN","Cucurbita","GT","Vicinity of Zacapa","wild"
"58","Cucurbita_lundelliana",16,-89.933333,"GBIF","H","CATIE","1305089108","1305089108","UNKNOWN","Cucurbita","GT","Camino a San Francisco","wild"
"59","Cucurbita_lundelliana",16,-89.516667,"GBIF","H","CATIE","1305089174","1305089174","UNKNOWN","Cucurbita","GT","El Zapote","wild"
"60","Cucurbita_lundelliana",16,-89.416667,"GBIF","H","CATIE","1305089188","1305089188","UNKNOWN","Cucurbita","GT","","wild"
"61","Cucurbita_lundelliana",16,-89.083333,"GBIF","H","CATIE","1305089061","1305089061","UNKNOWN","Cucurbita","GT","","wild"
"62","Cucurbita_lundelliana",16.197778,-89.042225,"GBIF","H","USDA_NPGS","1304898671","1304898671","UNKNOWN","Cucurbita","BZ","Blue Creek","wild"
"63","Cucurbita_lundelliana",16.1981,-89.4389,"GBIF","H","CIAT","1300328473","1300328473","UNKNOWN","Cucurbita","GT","San Luis Petn","wild"
"64","Cucurbita_lundelliana",16.783333,-90.116667,"GBIF","H","CU","1421516386","1421516386","PRESERVED_SPECIMEN","Cucurbita","GT","La Libertad.","wild"
"65","Cucurbita_lundelliana",16.7881,-90.1214,"GBIF","H","CIAT","1300328453","1300328453","UNKNOWN","Cucurbita","GT","La Libertad  Sitio arqueolgico La Joyanca (Lat/Long La Libertad)","wild"
"66","Cucurbita_lundelliana",16.834828,-90.289925,"GBIF","H","USDA_NPGS","1304898638","1304898638","UNKNOWN","Cucurbita","GT","","wild"
"67","Cucurbita_lundelliana",16.9095,-89.8829,"GBIF","H","CIAT","1300328515","1300328515","UNKNOWN","Cucurbita","GT","Lake Petn Itz  Santa Elena","wild"
"68","Cucurbita_lundelliana",16.92111,-89.89083,"GBIF","H","MO","1259709405","1259709405","PRESERVED_SPECIMEN","Cucurbita","GT","Lake Peten Itza  Santa Elena  along lakeshore","wild"
"69","Cucurbita_lundelliana",16.92111,-89.89083,"GBIF","H","MO","1259336949","1259336949","PRESERVED_SPECIMEN","Cucurbita","GT","Lake Peten Itza  Santa Elena  along lakeshore","wild"
"70","Cucurbita_lundelliana",16.929445,-89.891111,"GBIF","H","MO","1259711257","1259711257","PRESERVED_SPECIMEN","Cucurbita","GT","Near Lago PetÃ©n ItzÃ¡","wild"
"71","Cucurbita_lundelliana",16.929445,-89.891111,"GBIF","H","MO","1259707469","1259707469","PRESERVED_SPECIMEN","Cucurbita","GT","Near Lago PetÃ©n Itza.","wild"
"72","Cucurbita_lundelliana",16.93,-89.51,"GBIF","H","Bioversity","1302291804","1302291804","UNKNOWN","Cucurbita","GT","El Zapote Melchor","wild"
"73","Cucurbita_lundelliana",16.933333,-89.516667,"GBIF","G","ITAl001|GTM0003|GTM0907","1563551020","1563551020","LIVING_SPECIMEN","Cucurbita","GT","El Zapote Melchor","wild"
"74","Cucurbita_lundelliana",16.95833,-89.62916,"GBIF","H","MO","1258713876","1258713876","PRESERVED_SPECIMEN","Cucurbita","GT","El Remate  on Tikal Road  in high forest about 6-7 km NE of the village","wild"
"75","Cucurbita_lundelliana",16.96,-89.43,"GBIF","H","Bioversity","1302291787","1302291787","UNKNOWN","Cucurbita","GT","El Cruzadero Melchor de Mencos","wild"
"76","Cucurbita_lundelliana",16.9635,-89.9203,"GBIF","H","CIAT","1300328483","1300328483","UNKNOWN","Cucurbita","GT","Lake Petn Itz  San Andrs.","wild"
"77","Cucurbita_lundelliana",16.96638,-89.91138,"GBIF","H","MO","1259711451","1259711451","PRESERVED_SPECIMEN","Cucurbita","GT","Lake PetÃ©n [ItzÃ¡]  San Andres","wild"
"78","Cucurbita_lundelliana",16.966667,-89.433333,"GBIF","G","ITAl001|GTM0003|GTM0907","1563538648","1563538648","LIVING_SPECIMEN","Cucurbita","GT","El Cruzadero Melchor de Mencos","wild"
"79","Cucurbita_lundelliana",16.9681,-89.6961,"GBIF","H","CIAT","1300328516","1300328516","UNKNOWN","Cucurbita","GT","Near Lago Petn Itz.","wild"
"80","Cucurbita_lundelliana",16.97222,-88.44138,"GBIF","H","MO","1257503952","1257503952","PRESERVED_SPECIMEN","Cucurbita","BZ","Stann Creek Valley  Big Eddy Ridge","wild"
"81","Cucurbita_lundelliana",16.99611,-89.71638,"GBIF","H","MO","1261260284","1261260284","PRESERVED_SPECIMEN","Cucurbita","GT","Lago PetÃ©n ItzÃ¡ at [Hotel] Gringo Perdido [El Remate]","wild"
"82","Cucurbita_lundelliana",17,-89.916667,"GBIF","H","CATIE","1305089167","1305089167","UNKNOWN","Cucurbita","GT","Cruce a San Andrs","wild"
"83","Cucurbita_lundelliana",17.0001,-89.7288,"GBIF","H","CIAT","1300328485","1300328485","UNKNOWN","Cucurbita","GT","Remate  on Fallabon Road  about 8.5 km. East of village.","wild"
"84","Cucurbita_lundelliana",17.0091,-89.6775,"GBIF","H","CIAT","1300328505","1300328505","UNKNOWN","Cucurbita","GT","Remate  on Tikal Road   about 6 km NE of the village.","wild"
"85","Cucurbita_lundelliana",17.0181,-89.2288,"GBIF","H","CIAT","1300328517","1300328517","UNKNOWN","Cucurbita","GT","4-5 miles W of Guatemala-British Honduras border","wild"
"86","Cucurbita_lundelliana",17.0495,-89.3829,"GBIF","H","CIAT","1300328525","1300328525","UNKNOWN","Cucurbita","GT","Laguna Yaxja.","wild"
