"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_pepo_subsp._fraterna",23.366667,-99,"GBIF","H","USDA_NPGS_GRIN","1304964817","1304964817","UNKNOWN","Cucurbita","MX","","wild"
"2","Cucurbita_pepo_subsp._fraterna",23.36667,-99,"GBIF","H","USA020","40619177","40619177","UNKNOWN","Cucurbita","MX","Along hwy. Mex. 85 near the microondas (microwave) tower on Mesa la Sandia  between Llera and Rancho Nuevo  5km NNE of Llera de Canales  Municipal Llerade Canales.","wild"
"3","Cucurbita_pepo_subsp._fraterna",23.566667,-98.533333,"GBIF","H","USDA_NPGS_GRIN","1304964792","1304964792","UNKNOWN","Cucurbita","MX","","wild"
"4","Cucurbita_pepo_subsp._fraterna",23.566667,-98.533333,"GBIF","H","USDA_NPGS_GRIN","1304964753","1304964753","UNKNOWN","Cucurbita","MX","","wild"
"5","Cucurbita_pepo_subsp._fraterna",23.56667,-98.53333,"GBIF","H","USA020","40619180","40619180","UNKNOWN","Cucurbita","MX","El Piruli  along hwy. Mex 70  65km ESE of Ciudad Victoria  Municipal Casas.","wild"
"6","Cucurbita_pepo_subsp._fraterna",23.56667,-98.53333,"GBIF","H","USA020","40619178","40619178","UNKNOWN","Cucurbita","MX","El Piruli  along hwy. Mex. 70  65km ESE of Ciudad Victoria  Municipal Casa.","wild"
"7","Cucurbita_pepo_subsp._fraterna",23.766667,-98.566667,"GBIF","H","USDA_NPGS_GRIN","1304964808","1304964808","UNKNOWN","Cucurbita","MX","","wild"
"8","Cucurbita_pepo_subsp._fraterna",23.36666667,-99,"USDA_NPGS_GRIN","G","NC7","PI 532354","PI 532354","ACTIVE","Cucurbita","Mexico","Along hwy. Mex. 85 near the microondas (microwave) tower on Mesa la Sandia  between Llera and Rancho Nuevo  5km NNE of Llera de Canales  Municipal Llerade Canales.","WILD"
"9","Cucurbita_pepo_subsp._fraterna",23.76666667,-98.56666667,"USDA_NPGS_GRIN","G","NC7","PI 614683","PI 614683","ACTIVE","Cucurbita","Mexico","Along roadside at Valdo el Moro  ~ 60 km east of Cuidad Victoria on Highway 70  Victoria County.","WILD"
"10","Cucurbita_pepo_subsp._fraterna",23.56666667,-98.53333333,"USDA_NPGS_GRIN","G","NC7","PI 532355","PI 532355","ACTIVE","Cucurbita","Mexico","El Piruli  along hwy. Mex. 70  65km ESE of Ciudad Victoria  Municipal Casa.","WILD"
"11","Cucurbita_pepo_subsp._fraterna",23.56666667,-98.53333333,"USDA_NPGS_GRIN","G","NC7","PI 532356","PI 532356","ACTIVE","Cucurbita","Mexico","El Piruli  along hwy. Mex 70  65km ESE of Ciudad Victoria  Municipal Casas.","WILD"
