"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_pepo_subsp._ovifera_var._ozarkana",31.174167,-92.423056,"GBIF","H","USDA_NPGS_GRIN","1304992420","1304992420","UNKNOWN","Cucurbita","US","","wild"
"2","Cucurbita_pepo_subsp._ovifera_var._ozarkana",31.17417,-92.42306,"GBIF","H","USA020","40619551","40619551","UNKNOWN","Cucurbita","US","Edge of Bayou Robert  Rapides Parish.","wild"
"3","Cucurbita_pepo_subsp._ovifera_var._ozarkana",31.223889,-92.4175,"GBIF","H","USDA_NPGS_GRIN","1304992434","1304992434","UNKNOWN","Cucurbita","US","","wild"
"4","Cucurbita_pepo_subsp._ovifera_var._ozarkana",31.22389,-92.4175,"GBIF","H","USA020","40619558","40619558","UNKNOWN","Cucurbita","US","Rapides Parish.","wild"
"5","Cucurbita_pepo_subsp._ovifera_var._ozarkana",31.23194,-92.41667,"GBIF","H","USA020","40619549","40619549","UNKNOWN","Cucurbita","US","Rapides Parish.","wild"
"6","Cucurbita_pepo_subsp._ovifera_var._ozarkana",31.231944,-92.416667,"GBIF","H","USDA_NPGS_GRIN","1304992360","1304992360","UNKNOWN","Cucurbita","US","","wild"
"7","Cucurbita_pepo_subsp._ovifera_var._ozarkana",31.926667,-91.215,"GBIF","H","USDA_NPGS_GRIN","1304992401","1304992401","UNKNOWN","Cucurbita","US","","wild"
"8","Cucurbita_pepo_subsp._ovifera_var._ozarkana",31.92667,-91.215,"GBIF","H","USA020","40619556","40619556","UNKNOWN","Cucurbita","US","Tensas County.","wild"
"9","Cucurbita_pepo_subsp._ovifera_var._ozarkana",32,-91.166667,"GBIF","H","USDA_NPGS_GRIN","1304992367","1304992367","UNKNOWN","Cucurbita","US","","wild"
"10","Cucurbita_pepo_subsp._ovifera_var._ozarkana",32.478056,-90.981667,"GBIF","H","USDA_NPGS_GRIN","1304992443","1304992443","UNKNOWN","Cucurbita","US","","wild"
"11","Cucurbita_pepo_subsp._ovifera_var._ozarkana",32.47806,-90.98167,"GBIF","H","USA020","40619554","40619554","UNKNOWN","Cucurbita","US","Warren County.","wild"
"12","Cucurbita_pepo_subsp._ovifera_var._ozarkana",32.604167,-93.5625,"GBIF","H","USDA_NPGS_GRIN","1304992415","1304992415","UNKNOWN","Cucurbita","US","","wild"
"13","Cucurbita_pepo_subsp._ovifera_var._ozarkana",32.72194,-91.02444,"GBIF","H","USA020","40619563","40619563","UNKNOWN","Cucurbita","US","Issaquena County.","wild"
"14","Cucurbita_pepo_subsp._ovifera_var._ozarkana",32.72194,-91.02444,"GBIF","H","USA020","40619553","40619553","UNKNOWN","Cucurbita","US","Issaquena County.","wild"
"15","Cucurbita_pepo_subsp._ovifera_var._ozarkana",32.721944,-91.024444,"GBIF","H","USDA_NPGS_GRIN","1304992424","1304992424","UNKNOWN","Cucurbita","US","","wild"
"16","Cucurbita_pepo_subsp._ovifera_var._ozarkana",32.721944,-91.024444,"GBIF","H","USDA_NPGS_GRIN","1304992381","1304992381","UNKNOWN","Cucurbita","US","","wild"
"17","Cucurbita_pepo_subsp._ovifera_var._ozarkana",33.362778,-93.709722,"GBIF","H","USDA_NPGS_GRIN","1304992384","1304992384","UNKNOWN","Cucurbita","US","","wild"
"18","Cucurbita_pepo_subsp._ovifera_var._ozarkana",33.36278,-93.70972,"GBIF","H","USA020","40619564","40619564","UNKNOWN","Cucurbita","US","Near Garland  Miller County.","wild"
"19","Cucurbita_pepo_subsp._ovifera_var._ozarkana",33.70333,-93.56167,"GBIF","H","USA020","40619560","40619560","UNKNOWN","Cucurbita","US","Hempstead County.","wild"
"20","Cucurbita_pepo_subsp._ovifera_var._ozarkana",33.703333,-93.561667,"GBIF","H","USDA_NPGS_GRIN","1304992371","1304992371","UNKNOWN","Cucurbita","US","","wild"
"21","Cucurbita_pepo_subsp._ovifera_var._ozarkana",35.006667,-92.577222,"GBIF","H","USDA_NPGS_GRIN","1304992372","1304992372","UNKNOWN","Cucurbita","US","","wild"
"22","Cucurbita_pepo_subsp._ovifera_var._ozarkana",35.00667,-92.57722,"GBIF","H","USA020","40619562","40619562","UNKNOWN","Cucurbita","US","Faulkner County.","wild"
"23","Cucurbita_pepo_subsp._ovifera_var._ozarkana",35.770833,-91.645833,"GBIF","H","USDA_NPGS_GRIN","1304992395","1304992395","UNKNOWN","Cucurbita","US","","wild"
"24","Cucurbita_pepo_subsp._ovifera_var._ozarkana",35.83333,-94.91667,"GBIF","H","USA020","40619521","40619521","UNKNOWN","Cucurbita","US","Illinois River  Cherokee County.","wild"
"25","Cucurbita_pepo_subsp._ovifera_var._ozarkana",35.833333,-94.916667,"GBIF","H","USDA_NPGS_GRIN","1304992353","1304992353","UNKNOWN","Cucurbita","US","","wild"
"26","Cucurbita_pepo_subsp._ovifera_var._ozarkana",35.9375,-92.10417,"GBIF","H","USA020","40619530","40619530","UNKNOWN","Cucurbita","US","Along north bank of White River  about 130 meters downstream from Highway 9 bridge  Izard County.","wild"
"27","Cucurbita_pepo_subsp._ovifera_var._ozarkana",35.9375,-92.104167,"GBIF","H","USDA_NPGS_GRIN","1304992388","1304992388","UNKNOWN","Cucurbita","US","","wild"
"28","Cucurbita_pepo_subsp._ovifera_var._ozarkana",35.979167,-92.733333,"GBIF","H","USDA_NPGS_GRIN","1304992363","1304992363","UNKNOWN","Cucurbita","US","","wild"
"29","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.0625,-92.0625,"GBIF","H","USA020","40619518","40619518","UNKNOWN","Cucurbita","US","Buffalo River  just downstream from Highway 14 bridge  Searcy County.","wild"
"30","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.0625,-92.0625,"GBIF","H","USDA_NPGS_GRIN","1304992379","1304992379","UNKNOWN","Cucurbita","US","","wild"
"31","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.125,-94.625,"GBIF","H","USA020","40619522","40619522","UNKNOWN","Cucurbita","US","Baron Fork of Illinois River  Adair County.","wild"
"32","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.125,-94.625,"GBIF","H","USDA_NPGS_GRIN","1304992386","1304992386","UNKNOWN","Cucurbita","US","","wild"
"33","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.16694,-94.43417,"GBIF","H","USA020","40619548","40619548","UNKNOWN","Cucurbita","US","Benton County.","wild"
"34","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.16694,-94.43417,"GBIF","H","USA020","40619542","40619542","UNKNOWN","Cucurbita","US","Benton County.","wild"
"35","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.166944,-94.434167,"GBIF","H","USDA_NPGS_GRIN","1304992418","1304992418","UNKNOWN","Cucurbita","US","","wild"
"36","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.166944,-94.434167,"GBIF","H","USDA_NPGS_GRIN","1304992387","1304992387","UNKNOWN","Cucurbita","US","","wild"
"37","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.20833,-94.29167,"GBIF","H","USA020","40619515","40619515","UNKNOWN","Cucurbita","US","Osage Creek  Benton County.","wild"
"38","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.208333,-94.291667,"GBIF","H","USDA_NPGS_GRIN","1304992390","1304992390","UNKNOWN","Cucurbita","US","","wild"
"39","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.355,-91.638611,"GBIF","H","USDA_NPGS_GRIN","1304992398","1304992398","UNKNOWN","Cucurbita","US","","wild"
"40","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.355,-91.63861,"GBIF","H","USA020","40619536","40619536","UNKNOWN","Cucurbita","US","Saddle.","wild"
"41","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.375,-94.54167,"GBIF","H","USA020","40619519","40619519","UNKNOWN","Cucurbita","US","Spavinaw Creek  Benton County.","wild"
"42","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.375,-94.541667,"GBIF","H","USDA_NPGS_GRIN","1304992405","1304992405","UNKNOWN","Cucurbita","US","","wild"
"43","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.45833,-94.29167,"GBIF","H","USA020","40619520","40619520","UNKNOWN","Cucurbita","US","Little Sugar Creek  Benton County.","wild"
"44","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.458333,-94.291667,"GBIF","H","USDA_NPGS_GRIN","1304992385","1304992385","UNKNOWN","Cucurbita","US","","wild"
"45","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.53361,-93.73555,"GBIF","H","MO","1260975131","1260975131","PRESERVED_SPECIMEN","Cucurbita","US","On N side of White River in broaf valley bottom  3-3 3/4 mi SE of Eagle Rock swaley depression between river and valley bottom","wild"
"46","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.59,-94.38778,"GBIF","H","USA020","40619541","40619541","UNKNOWN","Cucurbita","US","McDonald County.","wild"
"47","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.59,-94.387778,"GBIF","H","USDA_NPGS_GRIN","1304992354","1304992354","UNKNOWN","Cucurbita","US","","wild"
"48","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.625,-93.125,"GBIF","H","USDA_NPGS_GRIN","1304992408","1304992408","UNKNOWN","Cucurbita","US","","wild"
"49","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.70833,-92.29167,"GBIF","H","USA020","40619533","40619533","UNKNOWN","Cucurbita","US","Along Bryant Creek  just downstream from Route 181 crossing at Hodgsons Water Mill  east of Sycamore  Ozark County.","wild"
"50","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.708333,-92.291667,"GBIF","H","USDA_NPGS_GRIN","1304992407","1304992407","UNKNOWN","Cucurbita","US","","wild"
"51","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.756944,-90.392778,"GBIF","H","MO","1260948599","1260948599","PRESERVED_SPECIMEN","Cucurbita","US","Poplar Bluff  next to Mansion Mall Theatre growing in some very dry filled ground","wild"
"52","Cucurbita_pepo_subsp._ovifera_var._ozarkana",36.80666,-91.3975,"GBIF","H","MO","1260980494","1260980494","PRESERVED_SPECIMEN","Cucurbita","US","Eleven Point Scenic Riverways  N bank of Eleven Point River  about 1 1/2 mi NE of Cane Bluff Access low brushy bank of river","wild"
"53","Cucurbita_pepo_subsp._ovifera_var._ozarkana",37.125,-93.458333,"GBIF","H","USDA_NPGS_GRIN","1304992344","1304992344","UNKNOWN","Cucurbita","US","","wild"
"54","Cucurbita_pepo_subsp._ovifera_var._ozarkana",37.125,-93.45833,"GBIF","H","USA020","40619524","40619524","UNKNOWN","Cucurbita","US","Wilson Creek  Christian County.","wild"
"55","Cucurbita_pepo_subsp._ovifera_var._ozarkana",37.208333,-93.208333,"GBIF","H","USDA_NPGS_GRIN","1304992376","1304992376","UNKNOWN","Cucurbita","US","","wild"
"56","Cucurbita_pepo_subsp._ovifera_var._ozarkana",37.22952,-90.20529,"GBIF","H","MO","1257941054","1257941054","PRESERVED_SPECIMEN","Cucurbita","US","Gipsy Quadrangle. T30N  R8E  NW  SE  Sec. 30. Base of toeslope and bottoms of the Castor River along County Road 740 about 0.25 miles south of State Hwy. 34.","wild"
"57","Cucurbita_pepo_subsp._ovifera_var._ozarkana",37.369167,-92.391111,"GBIF","H","USDA_NPGS_GRIN","1304992380","1304992380","UNKNOWN","Cucurbita","US","","wild"
"58","Cucurbita_pepo_subsp._ovifera_var._ozarkana",37.36917,-92.39111,"GBIF","H","USA020","40619540","40619540","UNKNOWN","Cucurbita","US","Wright County.","wild"
"59","Cucurbita_pepo_subsp._ovifera_var._ozarkana",37.375,-92.458333,"GBIF","H","USDA_NPGS_GRIN","1304992391","1304992391","UNKNOWN","Cucurbita","US","","wild"
"60","Cucurbita_pepo_subsp._ovifera_var._ozarkana",37.375,-92.45833,"GBIF","H","USA020","40619529","40619529","UNKNOWN","Cucurbita","US","Gasconade River  about 0.5 mile south of the Route H bridge  west of Manes  Wright County.","wild"
"61","Cucurbita_pepo_subsp._ovifera_var._ozarkana",37.45166,-92.2975,"GBIF","H","MO","1260975538","1260975538","PRESERVED_SPECIMEN","Cucurbita","US","Along Roubidoux Creek  with mostly Roubidoux sandstone bluffs all along creek  0.75 to 2 mi. NW of Turley  near junction with Price Hollow wooded floor of valley near creek","wild"
