"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_xscabridifolia",23.576772,-99.753848,"CWR_OCC","H","Andres","PI 532392","19433749","","Cucurbita","Mexico","between Palmillas to the SSE and Miquihuana to the NW",""
"2","Cucurbita_xscabridifolia",23.576772,-99.753848,"CWR_OCC","H","Andres","","19434033","","Cucurbita","Mexico","between Miquihuana and Palmillas",""
"3","Cucurbita_xscabridifolia",20.221388,-98.912223,"CWR_OCC","H","Andres","","19434034","","Cucurbita","Mexico","between El Arenal and Jiadi  Valley of Actopan",""
"4","Cucurbita_xscabridifolia",21.816667,-100,"CWR_OCC","H","Andres","","19434035","","Cucurbita","Mexico","ravine near Puerto Santa Anna",""
"5","Cucurbita_xscabridifolia",20.548358,-99.313517,"CWR_OCC","H","Andres","","19434036","","Cucurbita","Mexico","near km. 184 on hwy. between Tasquillo and Zimapn",""
"6","Cucurbita_xscabridifolia",23.480515,-104.472689,"CWR_OCC","H","Andres","","19434037","","Cucurbita","Mexico","between Hacienda Ciervo and San Juan del Ro",""
"7","Cucurbita_xscabridifolia",20.270069,-98.943678,"CWR_OCC","H","Andres","","19434038","","Cucurbita","Mexico","Laredo Hwy. near Actopan",""
"8","Cucurbita_xscabridifolia",20.332245,-98.617851,"CWR_OCC","H","Andres","","19434039","","Cucurbita","Mexico","near Los Reyes",""
"9","Cucurbita_xscabridifolia",19.775,-98.991667,"GBIF","H","CU","1421514651","1421514651","PRESERVED_SPECIMEN","Cucurbita","MX","Near Los Reyes.","wild"
"10","Cucurbita_xscabridifolia",20.158333,-99.058333,"GBIF","H","IBUNAM","1438857812","1438857812","PRESERVED_SPECIMEN","Cucurbita","MX","La Casilla  planicie de Tulancalco  aproximadamente 6 km al S de Emiliano Zapata  sobre la carretera de terracerÃ­a","wild"
