"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_cordata",27.4047,-112.5387,"CWR_OCC","G","Bioversity","","2628784","","Cucurbita","Mexico","Mexico:Baja California State","wild"
"2","Cucurbita_cordata",16.416667,-93.783333,"CWR_OCC","H","HUH","584","2677826","","Cucurbita","Mexico","North America;Mexico and Central America;Mexico;",""
"3","Cucurbita_cordata",16.416667,-93.783333,"CWR_OCC","H","HUH","584","2677827","","Cucurbita","Mexico","North America;Mexico and Central America;Mexico;",""
"4","Cucurbita_cordata",28.14,-113.25,"CWR_OCC","H","Bioversity","","2863673","","Cucurbita","Mexico","13 mi east of El Arco [on MEX Hwy 18?]",""
"5","Cucurbita_cordata",25.91666667,-111.4666667,"CWR_OCC","H","Bioversity","","2868939","","Cucurbita","Mexico","0.7 mi SW of Rancho Las Parras  about 13 mi SW of Hwy 1 on the road from Loreto to San Javier",""
"6","Cucurbita_cordata",18.123446,-92.989354,"CWR_OCC","H","Andres","","19433564","","Cucurbita","Mexico","arroyo 0.5 mi. N of paved road  44 mi. NW of La Paz",""
"7","Cucurbita_cordata",26.206709,-111.617512,"CWR_OCC","H","Andres","","19433565","","Cucurbita","Mexico","Arroyo Quisapol  E of La Presa along trail to Laguna Caquihui  Sierra de la Giganta",""
"8","Cucurbita_cordata",15.273559,-92.357174,"CWR_OCC","H","Andres","","19433567","","Cucurbita","Mexico","Sierra de la Giganta  headwaters of Arroyo Santo Domingo at El Arenal  between Rancho Viejo and junction with Comond road",""
"9","Cucurbita_cordata",24.299469,-102.879706,"CWR_OCC","H","Andres","","19433571","","Cucurbita","Mexico","Arroyo San Pedro near La Bocana",""
"10","Cucurbita_cordata",28.744103,-113.753451,"CWR_OCC","H","Andres","","19433572","","Cucurbita","Mexico","Sierra San Borja  flat floor of Valley of San Juan",""
"11","Cucurbita_cordata",28.744103,-113.753451,"CWR_OCC","H","Andres","","19433573","","Cucurbita","Mexico","Valley of San Juan  Sierra San Borja",""
