"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_digitata",33.98365,-111.708756,"CWR_OCC","H","CPNWH","V74131","2487703","","Cucurbita","United States","","wild"
"2","Cucurbita_digitata",33.98365,-111.708756,"CWR_OCC","H","CPNWH","V135981","2487704","","Cucurbita","United States","","wild"
"3","Cucurbita_digitata",31.963143,-111.599836,"CWR_OCC","H","Bioversity","","2603799","","Cucurbita","United States","South side of Arizona State Highway 86 about 100 yards S of a roadside table  about 2 miles E of junction with Arizona 386 (road to Kitt Peak Observatory).",""
"4","Cucurbita_digitata",31.850932,-107.951975,"CWR_OCC","H","Bioversity","","2603800","","Cucurbita","United States","Hermanas Mountains (Tres Hermanas)  W side of New Mexico State Highway 11  6.3 miles N or Columbus (as measured from junction with NM9; 4200 ft.",""
"5","Cucurbita_digitata",31.4875,-111.2767,"CWR_OCC","G","Bioversity","","2628919","","Cucurbita","United States","USA:Arizona:Santa Cruz County","wild"
"6","Cucurbita_digitata",32.76972222,-116.4908333,"CWR_OCC","H","Bioversity","","2869167","","Cucurbita","United States","east side of Highway 80  about 1/4 mile north of Buckman Springs",""
"7","Cucurbita_digitata",33.85,-113.5,"CWR_OCC","H","Bioversity","","2869401","","Cucurbita","United States","2.5 mi. east of Wenden on Hwy 60-70",""
"8","Cucurbita_digitata",31.83333333,-113.5,"CWR_OCC","H","Bioversity","","2869402","","Cucurbita","Mexico","NE slopes of Cerro del Pinacate at and above Red Cone Camp  WSW of Sonoyta and north of Puerto Peasco",""
"9","Cucurbita_digitata",32.34972222,-108.7088889,"CWR_OCC","H","Bioversity","","2872546","","Cucurbita","United States","Pyramid Mtns  hills about Lordsburg Cemetary",""
"10","Cucurbita_digitata",31.33333333,-115.75,"CWR_OCC","H","Bioversity","","2873632","","Cucurbita","Mexico","c. 8 mi north of Valle de Trinidad and 8.3 mi SSW of Ej. Jamau",""
"11","Cucurbita_digitata",31.440663,-108.427538,"CWR_OCC","H","Bioversity","","2879313","","Cucurbita","United States","Alamo Hueco Mtns. 8 mi SE of the U Bar Ranch Headquarters on Dog Springs Rd. at the intersection of two ranch roads near a windmill and two stock tanks",""
"12","Cucurbita_digitata",33.661987,-111.812086,"CWR_OCC","H","Bioversity","","2879314","","Cucurbita","United States","McDowell Mountains Regional Park",""
"13","Cucurbita_digitata",33.864738,-117.783667,"CWR_OCC","H","Bioversity","","2992900","","Cucurbita","United States","N of Sante Fe Railroad Tracks opposite Yorba Cemetery",""
"14","Cucurbita_digitata",32.76972222,-116.4908333,"CWR_OCC","H","Bioversity","","3012276","","Cucurbita","United States","Peninsular Range east side of Highway 80  about 1/4 mile north of Buckman Springs",""
"15","Cucurbita_digitata",32.769722,-116.490833,"CWR_OCC","H","Bioversity","","3012277","","Cucurbita","United States","east side of Hwy 80  about 1/4 mile north of Buckman Springs.",""
"16","Cucurbita_digitata",35.521652,-115.316101,"CWR_OCC","H","Bioversity","","3023092","","Cucurbita","United States","Colorado Desert; Western Colorado Desert region Whitewater  Colorado Desert",""
"17","Cucurbita_digitata",33.8821834,-117.3410997,"CWR_OCC","H","Bioversity","","3025358","","Cucurbita","United States","Whitewater  Rvierside County",""
"18","Cucurbita_digitata",33.35923767,-114.711441,"CWR_OCC","H","Bioversity","","3025532","","Cucurbita","United States","upper end Cibola Valley",""
"19","Cucurbita_digitata",38.9186766,-84.2635472,"CWR_OCC","H","Bioversity","","3027461","","Cucurbita","United States","Near the Colorado",""
"20","Cucurbita_digitata",31.5902061,-90.5219749,"CWR_OCC","H","Bioversity","","3111789","","Cucurbita","United States","Near the Colorado",""
"21","Cucurbita_digitata",34.924784,-103.971081,"CWR_OCC","H","Bioversity","","3111790","","Cucurbita","United States","[West of the Chiricahua Mountains  low subsaline valley]",""
"22","Cucurbita_digitata",29.333333,-110.666667,"CWR_OCC","H","Bioversity","","3111791","","Cucurbita","Mexico","Valley between the sierras di Sonora y verd",""
"23","Cucurbita_digitata",31.333998,-108.53115,"CWR_OCC","H","Andres","","19433563","","Cucurbita","United States","Playas Valley  0.8 mi. N of Cienagas Ranch House on road to Hachita",""
"24","Cucurbita_digitata",17.191217,-92.872074,"CWR_OCC","H","Andres","","19433578","","Cucurbita","Mexico","Sierra Jurez  Arroyo Grande  ca. 6 mi. below the ranch",""
"25","Cucurbita_digitata",27.285455,-101.171673,"CWR_OCC","H","Andres","","19433579","","Cucurbita","Mexico","Arroyo el Picacho",""
"26","Cucurbita_digitata",20.382793,-97.991389,"CWR_OCC","H","Andres","","19433580","","Cucurbita","Mexico","Sierra San Pedro Mrtir  2 km. SW of San Antonio",""
"27","Cucurbita_digitata",31.908781,-116.258285,"CWR_OCC","H","Andres","","19434182","","Cucurbita","Mexico","vicinity of Ojos Negros",""
"28","Cucurbita_digitata",28.539941,-110.026006,"CWR_OCC","H","Andres","","19434183","","Cucurbita","Mexico","valley between Sierra Sonora and Sierra Verde",""
"29","Cucurbita_digitata",30.2264,-111.078181,"CWR_OCC","H","Andres","","19434185","","Cucurbita","Mexico","about 2 mi. E of Rancho Noria de Navaso",""
"30","Cucurbita_digitata",24.611638,-102.998308,"CWR_OCC","H","Andres","","19434189","","Cucurbita","Mexico","between Hwy. 3 and Rancho Mike in the Sierra de San Pedro Mrtir  7.8 mi. SW of Hwy. 3",""
"31","Cucurbita_digitata",27.018525,-109.62282,"CWR_OCC","H","Andres","","19434190","","Cucurbita","Mexico","between San Pedro & Fronteras",""
"32","Cucurbita_digitata",30,-110.2,"CWR_OCC","H","Andres","","19434191","","Cucurbita","Mexico","N. of Banamichi",""
"33","Cucurbita_digitata",31.354867,-115.523106,"CWR_OCC","H","Andres","","19434192","","Cucurbita","Mexico","San Matias Pass",""
"34","Cucurbita_digitata",30.635822,-110.967968,"CWR_OCC","H","Andres","","19434193","","Cucurbita","Mexico","near Magdalena",""
"35","Cucurbita_digitata",30.483333,-106.716667,"CWR_OCC","H","Andres","","19434195","","Cucurbita","Mexico","Mex. 10  Punte Vado Santa Maria  W fork of Ro Santa Maria  5.6 mi. NW Galaena Centro",""
"36","Cucurbita_digitata",30.816667,-109.2,"CWR_OCC","H","Andres","","19434196","","Cucurbita","Mexico","Mesa de las Carreras  W of Colonia Morelos",""
"37","Cucurbita_digitata",30.833333,-108.75,"CWR_OCC","H","Andres","","19434198","","Cucurbita","Mexico","between Tepupa and Batuc  lower valley of the Ro Moctezuma",""
"38","Cucurbita_digitata",30.35,-107.95,"CWR_OCC","H","Andres","","19434199","","Cucurbita","Mexico","W of (on El Sueco-N. Casas Grandes Rd.)",""
"39","Cucurbita_digitata",31.22701,-110.977084,"CWR_OCC","H","Andres","","19434200","","Cucurbita","Mexico","between Nogales & Lyuaymas",""
"40","Cucurbita_digitata",31.666667,-115.816667,"CWR_OCC","H","Andres","","19434201","","Cucurbita","Mexico","near Mission Santa Catarina  in the southern Sierra de Juarez  ca. 43 mi. E of Ensenada",""
"41","Cucurbita_digitata",30.167897,-111.113306,"CWR_OCC","H","Andres","","19434202","","Cucurbita","Mexico","SW of Benjamin Hill",""
"42","Cucurbita_digitata",26.924457,-102.466442,"CWR_OCC","H","Andres","","19434203","","Cucurbita","Mexico","Ro del Rosario  ca 3 km. E of Rosario",""
"43","Cucurbita_digitata",30.666667,-109.35,"CWR_OCC","H","Andres","","19434204","","Cucurbita","Mexico","region of Ro de Bavispe  Arroyo del Salto",""
"44","Cucurbita_digitata",29.909349,-106.398695,"CWR_OCC","H","Andres","","19434206","","Cucurbita","Mexico","20 km. S of Cases Grandes on road to El Sueco",""
"45","Cucurbita_digitata",30.635822,-110.967968,"CWR_OCC","H","Andres","","19434207","","Cucurbita","Mexico","along Ro Magdalena  8 mi. E of Junction of Cananea road and Hwy.",""
"46","Cucurbita_digitata",31.314044,-110.945956,"CWR_OCC","H","Andres","PI 254925","19434211","","Cucurbita","Mexico","between Nogales and Imuris",""
"47","Cucurbita_digitata",32.994505,-111.537625,"CWR_OCC","H","Andres","","19434539","","Cucurbita","United States","between Sacaton & Casa Grande",""
"48","Cucurbita_digitata",33.058106,-112.047642,"CWR_OCC","H","Andres","","19434540","","Cucurbita","United States","near Chandler",""
"49","Cucurbita_digitata",32.388407,-110.592309,"CWR_OCC","H","Andres","","19434544","","Cucurbita","United States","Signal Road  15.1 mi. E of U. S. 93  near Burro Creek",""
"50","Cucurbita_digitata",33.376167,-110.75372,"CWR_OCC","H","Andres","","19434546","","Cucurbita","United States","Torelo Basin",""
"51","Cucurbita_digitata",31.441488,-109.907574,"CWR_OCC","H","Andres","","19434547","","Cucurbita","United States","",""
"52","Cucurbita_digitata",33.376167,-110.75372,"CWR_OCC","H","Andres","","19434548","","Cucurbita","United States","",""
"53","Cucurbita_digitata",32.965903,-108.57672,"CWR_OCC","H","Andres","","19434549","","Cucurbita","United States","mesa S of Gila",""
"54","Cucurbita_digitata",32.034518,-111.90707,"CWR_OCC","H","Andres","","19434551","","Cucurbita","United States","",""
"55","Cucurbita_digitata",33.865293,-117.808945,"CWR_OCC","H","Andres","","19434552","","Cucurbita","United States","Santa Ana Canyon  along Sante Fe R. R. at Yorba Church",""
"56","Cucurbita_digitata",32.896176,-109.827582,"CWR_OCC","H","Andres","","19434553","","Cucurbita","United States","Tumauroc Hill",""
"57","Cucurbita_digitata",33.667548,-111.134289,"CWR_OCC","H","Andres","","19434554","","Cucurbita","United States","Roosevelt Dam",""
"58","Cucurbita_digitata",33.957543,-111.186796,"CWR_OCC","H","Andres","","19434555","","Cucurbita","United States","Sierra Ancha",""
"59","Cucurbita_digitata",33.058106,-112.047642,"CWR_OCC","H","Andres","","19434557","","Cucurbita","United States","",""
"60","Cucurbita_digitata",31.441488,-109.907574,"CWR_OCC","H","Andres","","19434558","","Cucurbita","United States","Mexican boundary line  S of Bisbee",""
"61","Cucurbita_digitata",33.058106,-112.047642,"CWR_OCC","H","Andres","","19434559","","Cucurbita","United States","",""
"62","Cucurbita_digitata",33.228103,-112.166537,"CWR_OCC","H","Andres","","19434560","","Cucurbita","United States","vicinity of Ruby",""
"63","Cucurbita_digitata",33.376167,-110.75372,"CWR_OCC","H","Andres","","19434561","","Cucurbita","United States","",""
"64","Cucurbita_digitata",33.235313,-114.679957,"CWR_OCC","H","Andres","","19434563","","Cucurbita","United States","Cibola Valley",""
"65","Cucurbita_digitata",31.441488,-109.907574,"CWR_OCC","H","Andres","","19434567","","Cucurbita","United States","along Hwy. 80 near Arizona/New Mexico line",""
"66","Cucurbita_digitata",32.193966,-110.984814,"CWR_OCC","H","Andres","","19434568","","Cucurbita","United States","Santa Cruz Valley",""
"67","Cucurbita_digitata",32.994505,-111.537625,"CWR_OCC","H","Andres","","19434569","","Cucurbita","United States","Casa Grande to Gila Bend",""
"68","Cucurbita_digitata",31.719573,-110.070841,"CWR_OCC","H","Andres","","19434570","","Cucurbita","United States","Hwy. 80  0.5 mi. NNW of Tombstone",""
"69","Cucurbita_digitata",31.488702,-111.54205,"CWR_OCC","H","Andres","","19434571","","Cucurbita","United States","Robles Ranch to Sasabe",""
"70","Cucurbita_digitata",31.973692,-111.095095,"CWR_OCC","H","Andres","","19434572","","Cucurbita","United States","near San Xavier Mission  Tucson",""
"71","Cucurbita_digitata",32.896176,-109.827582,"CWR_OCC","H","Andres","","19434573","","Cucurbita","United States","Tumauroc Hill",""
"72","Cucurbita_digitata",33.733895,-110.540201,"CWR_OCC","H","Andres","","19434574","","Cucurbita","United States","White Tank Mts. Regional Park  road across flats leading to Ford Canyon",""
"73","Cucurbita_digitata",33.667548,-111.134289,"CWR_OCC","H","Andres","","19434576","","Cucurbita","United States","along road from Roosevelt to Payson",""
"74","Cucurbita_digitata",31.835372,-109.03117,"CWR_OCC","H","Andres","","19434577","","Cucurbita","United States","near Rodeo",""
"75","Cucurbita_digitata",32.896176,-109.827582,"CWR_OCC","H","Andres","","19434578","","Cucurbita","United States","",""
"76","Cucurbita_digitata",31.999525,-110.951202,"CWR_OCC","H","Andres","","19434579","","Cucurbita","United States","along Ajo road W of Tucson",""
"77","Cucurbita_digitata",32.15091,-110.4798,"CWR_OCC","H","Andres","","19434580","","Cucurbita","United States","Huachuca Mts.  mouth of Miller Canyon",""
"78","Cucurbita_digitata",31.8276,-107.640023,"CWR_OCC","H","Andres","","19434581","","Cucurbita","United States","N of Columbus",""
"79","Cucurbita_digitata",33.597549,-111.205403,"CWR_OCC","H","Andres","","19434582","","Cucurbita","United States","Apache Trail from Roosevelt to Fish Creek",""
"80","Cucurbita_digitata",32.212854,-111.006204,"CWR_OCC","H","Andres","","19434585","","Cucurbita","United States","Tumamoc Hill  flats to W of hill",""
"81","Cucurbita_digitata",32.875065,-109.740636,"CWR_OCC","H","Andres","","19434588","","Cucurbita","United States","",""
"82","Cucurbita_digitata",31.999525,-110.951202,"CWR_OCC","H","Andres","","19434589","","Cucurbita","United States","Avra Valley  30 mi. W of Tucson",""
"83","Cucurbita_digitata",31.441488,-109.907574,"CWR_OCC","H","Andres","","19434590","","Cucurbita","United States","Sulpher Springs Valley (W of Chiricahua Mts.)  15 mi. SW of Chiricahua National Monument on Hwy. 181",""
"84","Cucurbita_digitata",31.417885,-108.558097,"CWR_OCC","H","Andres","","19434591","","Cucurbita","United States","near High Lonesome Wells",""
"85","Cucurbita_digitata",33.058106,-112.047642,"CWR_OCC","H","Andres","","19434592","","Cucurbita","United States","",""
"86","Cucurbita_digitata",33.058106,-112.047642,"CWR_OCC","H","Andres","","19434593","","Cucurbita","United States","about 5 mi. S of Cave Creek",""
"87","Cucurbita_digitata",32.896176,-109.827582,"CWR_OCC","H","Andres","","19434598","","Cucurbita","United States","near Tuscon",""
"88","Cucurbita_digitata",33.766687,-116.359177,"CWR_OCC","H","Andres","","19434599","","Cucurbita","United States","Upper Coachella Valley",""
"89","Cucurbita_digitata",30.383333,-107.866667,"CWR_OCC","H","Andres","","19435320","","Cucurbita","Mexico","1624 km. SE of Nuevo Casas Grandes",""
"90","Cucurbita_digitata",31.440663,-108.427538,"CWR_OCC","H","Andres","","19435327","","Cucurbita","United States","South end of Alamo Hueco Mts.",""
"91","Cucurbita_digitata",31.4138,-111.0203,"CWR_OCC","H","Andres","","19435328","","Cucurbita","United States","Atascosa Mts.  ca. 4 mi. E of Pina Blanca Lake at Calabascas Canyon; T23S  R13E  S21",""
"92","Cucurbita_digitata",32.801733,-109.632856,"CWR_OCC","H","Andres","","19435329","","Cucurbita","United States","San Simon Valley  between Peloncillo Mts. & Chiricahua Mts.  28 mi. NE of Douglas  1 mi. E of US-80 hwy. (W-Central T21S R32E)",""
"93","Cucurbita_digitata",31.752872,-109.429787,"CWR_OCC","H","Andres","","19435330","","Cucurbita","United States","Chiracahua Mts.  along road to Rucker Canyon that heads S from intersection of Arizona 181 and Turkey Creek Road",""
"94","Cucurbita_digitata",18.591667,-90.725,"GBIF","H","INIFAP-CECOY","1421859922","1421859922","PRESERVED_SPECIMEN","Cucurbita","MX","Campo Experimental Forestal El Tormento  km 5 carretera EscÃ¡rcega a Candelaria  zona sur  Mpio. CarmÃ©n","wild"
"95","Cucurbita_digitata",18.823589,-97.481503,"GBIF","H","CNS-UT","1422197317","1422197317","PRESERVED_SPECIMEN","Cucurbita","MX","5 Km al SW de Huachinango  cerca de la estaciÃ³n de Bombas Sta Catarina (Oleod)","wild"
"96","Cucurbita_digitata",23.95046,-102.53289,"GBIF","G","G","1144588428","1144588428","LIVING_SPECIMEN","Cucurbita","MX","Mexique - Mexique septentrional","wild"
"97","Cucurbita_digitata",27.525,-105.025,"GBIF","H","CNS-UT","1438858787","1438858787","PRESERVED_SPECIMEN","Cucurbita","MX","15 mi S of Ciudad Camargo  along Mexico Highway 45O  N rocky flats of Chihuahuan desert","wild"
"98","Cucurbita_digitata",27.525,-105.025,"GBIF","H","CNS-UT","1421516985","1421516985","PRESERVED_SPECIMEN","Cucurbita","MX","15 mi S of Cd. Camargo  along Mex. Hwy. 45. On rocky flats of Chihuahuan desert.","wild"
"99","Cucurbita_digitata",28.065278,-109.385556,"GBIF","H","HU","1418146669","1418146669","PRESERVED_SPECIMEN","Cucurbita","MX","NE Sonora  Colonia Oaxaca","wild"
"100","Cucurbita_digitata",29.19794,-109.74622,"GBIF","H","CAS","1421516092","1421516092","PRESERVED_SPECIMEN","Cucurbita","MX","Between Tepupa and Batuc. Lower valley of the RÃ­o Moctezuma.","wild"
"101","Cucurbita_digitata",29.243611,-109.743611,"GBIF","H","CAS","1418149125","1418149125","PRESERVED_SPECIMEN","Cucurbita","MX","Between Tepupa and Batuc  Lower valley of the RÃ­o Moctezuma","wild"
"102","Cucurbita_digitata",29.55,-110.416667,"GBIF","H","CNS-UT","1422216872","1422216872","PRESERVED_SPECIMEN","Cucurbita","MX","Rancho Noria Aguilarena  N of Ures & Santiago","wild"
"103","Cucurbita_digitata",29.562222,-110.891389,"GBIF","H","CAS","1438858468","1438858468","PRESERVED_SPECIMEN","Cucurbita","MX","About 2 mi E of Rancho Noria de Navaso","wild"
"104","Cucurbita_digitata",29.588383,-110.886838,"GBIF","H","CAS","1421516392","1421516392","PRESERVED_SPECIMEN","Cucurbita","MX","About 2 mi E of Rancho Noria de Navaso.","wild"
"105","Cucurbita_digitata",29.770833,-109.198611,"GBIF","H","DICTUS-USON","1418152811","1418152811","PRESERVED_SPECIMEN","Cucurbita","MX","La Villa  5 km NE Moctezuma.","wild"
"106","Cucurbita_digitata",29.791389,-112.5575,"GBIF","H","CAS","1438859352","1438859352","PRESERVED_SPECIMEN","Cucurbita","MX","9 mi S of Libertad road toward Datil","wild"
"107","Cucurbita_digitata",29.816111,-111.074722,"GBIF","H","NMNH-SI","1418146456","1418146456","PRESERVED_SPECIMEN","Cucurbita","MX","Between Nogales and Guaymas","wild"
"108","Cucurbita_digitata",29.820613,-112.57138,"GBIF","H","CAS","1421516870","1421516870","PRESERVED_SPECIMEN","Cucurbita","MX","9 mi S of Libertad road toward Datil.","wild"
"109","Cucurbita_digitata",29.865,-110.217778,"GBIF","H","CAS","1438859953","1438859953","PRESERVED_SPECIMEN","Cucurbita","MX","11.3 mi S of San Felipe  San Felipe Desert","wild"
"110","Cucurbita_digitata",29.882778,-109.301111,"GBIF","H","UM","1438859098","1438859098","PRESERVED_SPECIMEN","Cucurbita","MX","Horconcitos  Region of RÃ­o De Bavispe  Arroyo del Salto","wild"
"111","Cucurbita_digitata",29.916667,-111.652778,"GBIF","H","CNS-UT","1438858347","1438858347","PRESERVED_SPECIMEN","Cucurbita","MX","Rancho Carrizo  SW of BenjamÃ­n Hill","wild"
"112","Cucurbita_digitata",29.916667,-111.652778,"GBIF","H","NMNH-SI","1418147071","1418147071","PRESERVED_SPECIMEN","Cucurbita","MX","Rancho Carrizo  SW of BenjamÃ­n Hill","wild"
