"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_foetidissima",37.16803,-100.44386,"GBIF","H","KU","176922015","176922015","PRESERVED_SPECIMEN","Cucurbita","US","Meade County Park","wild"
"2","Cucurbita_foetidissima",37.17,-113.74,"GBIF","H","USU","60081534","60081534","UNKNOWN","Cucurbita","US","","wild"
"3","Cucurbita_foetidissima",37.17035,-100.43196,"GBIF","H","KU","997426880","997426880","PRESERVED_SPECIMEN","Cucurbita","US","Meade State Park  along V Road near perimeter of Meade Lake","wild"
"4","Cucurbita_foetidissima",37.176667,-113.747222,"GBIF","H","NY","1097573872","1097573872","PRESERVED_SPECIMEN","Cucurbita","US","State Route 8  along the Santa Clara River  1.4 km (0.9 mi) east of the Gunlock turnoff (the old Shivwits townsite)","wild"
"5","Cucurbita_foetidissima",37.176667,-113.747222,"GBIF","H","Bioversity","1304597155","1304597155","UNKNOWN","Cucurbita","US","State Route 8  along the Santa Clara River  1.4 km (0.9 mi) east of the Gunlock turnoff (the old Shivwits townsite)","wild"
"6","Cucurbita_foetidissima",37.18436,-120.40442,"GBIF","H","JEPS","1662195075","1662195075","PRESERVED_SPECIMEN","Cucurbita","US","Along the west fence  on the north side of Dutchman Slough  about 1/4 mile southwest of the wire gate on the south side of Sandy Mush Road  3.7 miles west of Highway 99  about 8.5 miles south-southeast of Merced","wild"
"7","Cucurbita_foetidissima",37.184361,-120.404419,"GBIF","H","Bioversity","1304529374","1304529374","UNKNOWN","Cucurbita","US","Along the west fence  on the north side of Dutchman Slough  about 1/4 mile southwest of the wire gate on the south side of Sandy Mush Road  3.7 miles west of Highway 99  about 8.5 miles south-southeast of Merced","wild"
"8","Cucurbita_foetidissima",37.184361,-120.404417,"GBIF","H","CDA","1574396090","1574396090","PRESERVED_SPECIMEN","Cucurbita","US","Along the west fence  on north side of Dutchman Slough  about 1/4 mile southwest of the wire gate on the south side of Sandy Mush Road  3.7 miles west of Highway 99  about 8.5 miles south-southeast of Merced.","wild"
"9","Cucurbita_foetidissima",37.184361,-120.404417,"GBIF","H","RSA","1662693489","1662693489","PRESERVED_SPECIMEN","Cucurbita","US","Along west fence  north side of Dutchman Slough  about 0.25 mile southwest of the wire gate on the south side of Sandy Mush Road  3.7 miles west of Highway 99  about 8.5 miles south-southeast of Merced.","wild"
"10","Cucurbita_foetidissima",37.184361,-120.404417,"GBIF","H","Bioversity","1304529444","1304529444","UNKNOWN","Cucurbita","US","Along west fence  north side of Dutchman Slough  about 0.25 mile southwest of the wire gate on the south side of Sandy Mush Road  3.7 miles west of Highway 99  about 8.5 miles south-southeast of Merced.","wild"
