"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_okeechobeensis_subsp._okeechobeensis",41.3219933,-84.2043905,"CWR_OCC","H","Bioversity","","3100303","","Cucurbita","United States","Along north-south road ca. 1 mile beyond Slim''s fish camp (at canal)  Torrey Island  Lake Okeechobee  northwest of Belle Glade",""
"2","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.68333,-80.75,"GBIF","H","USA016","40612762","40612762","UNKNOWN","Cucurbita","US","South shore of lake  south of Bay Bottom Dynamite Hole Island  Lake Okeechobee.","wild"
"3","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.68333,-80.75,"GBIF","H","USA016","40612756","40612756","UNKNOWN","Cucurbita","US","South shore of island  Bay Bottom Dynamite Hole Island  Lake Okeechobee.","wild"
"4","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.683333,-80.75,"GBIF","H","USDA_NPGS_GRIN","1304964710","1304964710","UNKNOWN","Cucurbita","US","","wild"
"5","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.683333,-80.75,"GBIF","H","USDA_NPGS_GRIN","1304964672","1304964672","UNKNOWN","Cucurbita","US","","wild"
"6","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.7,-80.76667,"GBIF","H","USA016","40612760","40612760","UNKNOWN","Cucurbita","US","South shore of island  Bay Bottom Dynamite Hole Island  Lake Okeechobee.","wild"
"7","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.7,-80.766667,"GBIF","H","USDA_NPGS_GRIN","1304964645","1304964645","UNKNOWN","Cucurbita","US","","wild"
"8","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.7,-80.733333,"GBIF","H","USDA_NPGS_GRIN","1304964717","1304964717","UNKNOWN","Cucurbita","US","","wild"
"9","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.7,-80.733333,"GBIF","H","USDA_NPGS_GRIN","1304964703","1304964703","UNKNOWN","Cucurbita","US","","wild"
"10","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.7,-80.73333,"GBIF","H","USA016","40612753","40612753","UNKNOWN","Cucurbita","US","South shore of island  South Shore Dynamite Hole Island  Lake Okeechobee.","wild"
"11","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.7,-80.73333,"GBIF","H","USA016","40612751","40612751","UNKNOWN","Cucurbita","US","Inland on northeast side of island  South Shore Dynamite Hole Island  Lake Okeechobee.","wild"
"12","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.716667,-80.816667,"GBIF","H","USDA_NPGS_GRIN","1304964668","1304964668","UNKNOWN","Cucurbita","US","","wild"
"13","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.716667,-80.716667,"GBIF","H","USDA_NPGS_GRIN","1304964675","1304964675","UNKNOWN","Cucurbita","US","","wild"
"14","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.71667,-80.81667,"GBIF","H","USA016","40612764","40612764","UNKNOWN","Cucurbita","US","Along western side of west canal on Ritta Island.","wild"
"15","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.71667,-80.71667,"GBIF","H","USA016","40612766","40612766","UNKNOWN","Cucurbita","US","West side of east canal on Torry Island  Lake Okeechobee.","wild"
"16","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.722287,-80.806171,"GBIF","H","USDA_NPGS","1304880343","1304880343","UNKNOWN","Cucurbita","US","Lake Okeechobee  Ritta Island","wild"
"17","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.723676,-80.720333,"GBIF","H","USDA_NPGS","1304880333","1304880333","UNKNOWN","Cucurbita","US","Lake Okeechobee  Torrey Island","wild"
"18","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.73333,-80.73333,"GBIF","H","USA016","40612749","40612749","UNKNOWN","Cucurbita","US","Towards center of Torry Island in old agricultural area  Lake Okeechobee.","wild"
"19","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.73333,-80.73333,"GBIF","H","USA016","40612746","40612746","UNKNOWN","Cucurbita","US","Along canal shore  Torry Island  Lake Okeechobee  Palm Beach County.","wild"
"20","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.733333,-80.733333,"GBIF","H","USDA_NPGS_GRIN","1304964702","1304964702","UNKNOWN","Cucurbita","US","","wild"
"21","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.733333,-80.733333,"GBIF","H","USDA_NPGS_GRIN","1304964686","1304964686","UNKNOWN","Cucurbita","US","","wild"
"22","Cucurbita_okeechobeensis_subsp._okeechobeensis",26.930641,-80.603943,"GBIF","H","USDA_NPGS","1304880304","1304880304","UNKNOWN","Cucurbita","US","Lake Okeechobee  Dynamite Hole Island","wild"
"23","Cucurbita_okeechobeensis_subsp._okeechobeensis",27.19723,-80.82504,"GBIF","H","UConn","415976437","415976437","PRESERVED_SPECIMEN","Cucurbita","US","Lake Okeechobee","wild"
