"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_palmata",33.212541,-116.233619,"CWR_OCC","H","Bioversity","","2604414","","Cucurbita","United States","Anza Borrego Desert State Park  roadside along Borrego Valley Road  2 miles W of junction with California State Highway 78.",""
"2","Cucurbita_palmata",33.221151,-116.334177,"CWR_OCC","H","Bioversity","","2604415","","Cucurbita","United States","Anza Borrego Desert State Park  along County Road S2  between Agua Caliente and Vallecito County Parks  at Bisnaga Wash and for a short distance east.",""
"3","Cucurbita_palmata",34.89527778,-117.0241667,"CWR_OCC","H","Bioversity","","2860345","","Cucurbita","United States","Barstow",""
"4","Cucurbita_palmata",34.13,-116.0516667,"CWR_OCC","H","Bioversity","","2860893","","Cucurbita","United States","Twentynine Palms  Oasis of Mara at 29 Palms Inn  near intersection of Cottonwood and Mesquite Rds.",""
"5","Cucurbita_palmata",34.00888889,-116.0516667,"CWR_OCC","H","Bioversity","","2860894","","Cucurbita","United States","Joshua Tree National Park  on the northeast end of Splitock Picnic Area",""
"6","Cucurbita_palmata",31.635,-115.0683333,"CWR_OCC","H","Bioversity","","2861158","","Cucurbita","Mexico","7.5 mi south of La Ventana & west of Hwy 5 in slopes of Sierra las Pintas",""
"7","Cucurbita_palmata",33,-116.0666667,"CWR_OCC","H","Bioversity","","2861159","","Cucurbita","United States","Fish Creek Mountains",""
"8","Cucurbita_palmata",33.80230556,-117.0998889,"CWR_OCC","H","Bioversity","","2861426","","Cucurbita","United States","Lakeview Mountains  732 m southwest of Juniper Springs Road  and 1.83 km east of Hansen Avenue",""
"9","Cucurbita_palmata",34.25833333,-116.1066667,"CWR_OCC","H","Bioversity","","2861662","","Cucurbita","United States","29 Palms Marine Corps Base  West artillery range  large wash c. 1 air km WNW of base golf course and c. 5 air km SE of Camp Wilson  c. 4 air km SSE of S tip of Deadman Lake",""
"10","Cucurbita_palmata",33.75777778,-117.1191667,"CWR_OCC","H","Bioversity","","2861841","","Cucurbita","United States","Lakeview Mountains  vicinity of Alicante Dr. and Jamawag Rd.  north of Leon Rd.",""
"11","Cucurbita_palmata",36.04166667,-120.12,"CWR_OCC","H","Bioversity","","2861899","","Cucurbita","United States","Kettleman Hills  gasline route in hills north of Avenal near Fresno Co. line  north of Hwy 269 and west of I-5  vicinity of Cerro Lodoso and La Cumbre",""
"12","Cucurbita_palmata",34.05,-117.2666667,"CWR_OCC","H","Bioversity","","2864072","","Cucurbita","United States","Loma Linda",""
"13","Cucurbita_palmata",34.26833333,-116.2766667,"CWR_OCC","H","Bioversity","","2864173","","Cucurbita","United States","Twentynine Palms Marine Corps Base  Sand Hill Artillery Range  c. 6.5 km (air) SW of Surprise Spring  and 9 km (air) east of Landers  at Tortoise Study Plot 2",""
"14","Cucurbita_palmata",35.11919444,-116.2980833,"CWR_OCC","H","Bioversity","","2864370","","Cucurbita","United States","Cat Mountain in the Cronise Mountains  just north of the Hwy I-15  west of Baker. Basin Road exit",""
"15","Cucurbita_palmata",34.32305556,-114.3113889,"CWR_OCC","H","Bioversity","","2864637","","Cucurbita","United States","Whipple Mtns.  upper Whipple Wash  4 mi above the powerline road crossing",""
"16","Cucurbita_palmata",34.82958333,-116.335,"CWR_OCC","H","Bioversity","","2866411","","Cucurbita","United States","Cady Mountains  along road to microwave/radio towers on peak 3307  c. 1.5 mi. NNE of Black Butte Mine",""
"17","Cucurbita_palmata",34.13543333,-116.3350167,"CWR_OCC","H","Bioversity","","2866415","","Cucurbita","United States","west edge of town of Joshua Tree  corner of Hwy 62 and Sunny Vista Rd.",""
"18","Cucurbita_palmata",33.04222222,-116.4111111,"CWR_OCC","H","Bioversity","","2867409","","Cucurbita","United States","Earthquake Valley  0.25 mi north of pass separating Blair Valley to the south",""
"19","Cucurbita_palmata",34.32416667,-116.4183333,"CWR_OCC","H","Bioversity","","2867608","","Cucurbita","United States","Pipes Wash near Spy Mtn.  on a dirt road extension of University Blvd. in Landers going toward Giant Rock",""
"20","Cucurbita_palmata",34.13555556,-116.4575,"CWR_OCC","H","Bioversity","","2868800","","Cucurbita","United States","Little San Bernardino Mtns: UC Burns Pinyon Ridge Reserve off Skyline Ranch Rd.  c. 2 (air) mi ESE of Pioneertown and 1.5 (air) mi NW of Yucca Valley  Water Canyon Wash",""
