"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_pedatifolia",18.5127,-97.716,"CWR_OCC","G","Bioversity","","2630184","","Cucurbita","Mexico","Mexico:Puebla State:Juan N Mendez","wild"
"2","Cucurbita_pedatifolia",20.478309,-99.216886,"CWR_OCC","H","HUH","3743","2677832","","Cucurbita","Mexico","North America;Mexico and Central America;Mexico;Hidalgo;Ixmiquilpan;",""
"3","Cucurbita_pedatifolia",20.478309,-99.216886,"CWR_OCC","H","Andres","","19433589","","Cucurbita","Mexico","hwy. between Ixmiquilpan and Tasquillo",""
"4","Cucurbita_pedatifolia",17.511055,-97.488986,"CWR_OCC","H","Andres","","19433714","","Cucurbita","Mexico","(desviacin carretera Teposcolula-Tlaxiaco  aproximadamente 4 km al S de Teposcolula)",""
"5","Cucurbita_pedatifolia",17.589756,-97.513448,"CWR_OCC","H","Andres","","19433715","","Cucurbita","Mexico","(+7.5 km sobre el camino de Guadalupe Tix a San Isidro Lagunas; desviacin sobre la carretera Teposcolula-Tlaxiaco  + 4 km al S de Teposcolula)",""
"6","Cucurbita_pedatifolia",17,-97.95,"CWR_OCC","H","Andres","","19433716","","Cucurbita","Mexico","En el Rancho La Soledad a la entrada del poblado de San Andres Lagunas (+ 7 km sobre el camino de Guadalupe Tix a San Isidro Lagunas (desviacin sobre la carretera Teposcolula-Tlaxiaco + 4 km al S de Teposcolula)",""
"7","Cucurbita_pedatifolia",18.785217,-98.121119,"CWR_OCC","H","Andres","","19433718","","Cucurbita","Mexico","Alrrededores del poblado de Santiago Acatepec (carretera Tehuacn-Huajuapan)",""
"8","Cucurbita_pedatifolia",26.079533,-107.611582,"CWR_OCC","H","Andres","","19433752","","Cucurbita","Mexico","near Higuerillas",""
"9","Cucurbita_pedatifolia",23.576772,-99.753848,"CWR_OCC","H","Andres","","19434380","","Cucurbita","Mexico","between Miquihuana and Palmillas",""
"10","Cucurbita_pedatifolia",20.738138,-99.381798,"CWR_OCC","H","Andres","","19434381","","Cucurbita","Mexico","along Hwy. 85  near the N turnoff to Zimapan",""
