"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_pepo_subsp._ovifera_var._texana",33.188714,-102.827989,"CWR_OCC","H","Andres","","19435152","","Cucurbita","United States","flood plains of Guadelupe River",""
"2","Cucurbita_pepo_subsp._ovifera_var._texana",31.135459,-97.002768,"CWR_OCC","H","Andres","","19435157","","Cucurbita","United States","",""
"3","Cucurbita_pepo_subsp._ovifera_var._texana",30.240196,-90.828152,"CWR_OCC","H","Andres","","19435158","","Cucurbita","United States","Along roadbank of La. 168 west of Black Bayou at Young Road west of Rodessa and La. 1; Sec. 20  T23N  R16W",""
"4","Cucurbita_pepo_subsp._ovifera_var._texana",29.645504,-98.223622,"CWR_OCC","H","Andres","","19435159","","Cucurbita","United States","",""
"5","Cucurbita_pepo_subsp._ovifera_var._texana",29.645504,-98.223622,"CWR_OCC","H","Andres","","19435160","","Cucurbita","United States","",""
"6","Cucurbita_pepo_subsp._ovifera_var._texana",30.917674,-99.786459,"CWR_OCC","H","Andres","","19435164","","Cucurbita","United States","",""
"7","Cucurbita_pepo_subsp._ovifera_var._texana",36.486295,-93.733793,"CWR_OCC","H","Andres","","19435165","","Cucurbita","United States","on N and E side of White River in broad valley bottom  T 21 N  R 26 W  sect. 15 and SW corner sect. 14  33.75 mi. SE of Eagle Rock",""
"8","Cucurbita_pepo_subsp._ovifera_var._texana",29.743056,-94.703333,"CWR_OCC","H","Andres","","19435166","","Cucurbita","United States","Trinity River delta  100 m. W of Ft. Anahuac Park",""
"9","Cucurbita_pepo_subsp._ovifera_var._texana",31.135459,-97.002768,"CWR_OCC","H","Andres","","19435167","","Cucurbita","United States","near Austin",""
"10","Cucurbita_pepo_subsp._ovifera_var._texana",30.263819,-97.771395,"CWR_OCC","H","Andres","","19435168","","Cucurbita","United States","Barton Springs Creek",""
"11","Cucurbita_pepo_subsp._ovifera_var._texana",30.655185,-98.429473,"CWR_OCC","H","Andres","","19435169","","Cucurbita","United States","sandy banks of Llano River",""
"12","Cucurbita_pepo_subsp._ovifera_var._texana",40.735596,-91.102367,"CWR_OCC","H","Andres","","19435173","","Cucurbita","United States","near Fish Lake",""
"13","Cucurbita_pepo_subsp._ovifera_var._texana",28.697216,-96.575532,"CWR_OCC","H","Andres","","19435176","","Cucurbita","United States","Lavaca River",""
