"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_radicans",19.1667,-101.8333,"CWR_OCC","H","Bioversity","2054296","2416982","","Cucurbita","Mexico","",""
"2","Cucurbita_radicans",15.7422,-90.1792,"CWR_OCC","H","Bioversity","694914","2416983","","Cucurbita","Guatemala","",""
"3","Cucurbita_radicans",19.45,-103.6666667,"CWR_OCC","H","Bioversity","","2871872","","Cucurbita","Mexico","Rancho El Jabal  22 km NNW of the city of Colima at the Jalisco state line near Hacienda San Antonio; W edge of rancho; La Joya area",""
"4","Cucurbita_radicans",19.753057,-101.639557,"CWR_OCC","H","Andres","","19433553","","Cucurbita","Mexico","along Hwy. 15  3 km. ESE of Comanj  16 km. ESE of Zacapu",""
"5","Cucurbita_radicans",19.994189,-102.719193,"CWR_OCC","H","Andres","PI 532390","19433555","","Cucurbita","Mexico","5 km. W of Jiquilpan de Juarez on S side of hwy. Mex. 110",""
"6","Cucurbita_radicans",19.436606,-100.35691,"CWR_OCC","H","Andres","","19433804","","Cucurbita","Mexico","along hwy. S of Tuxpan  km. 190191  towards Zitacuaro",""
"7","Cucurbita_radicans",21.942211,-105.298698,"CWR_OCC","H","Andres","","19433830","","Cucurbita","Mexico","2 km. W of Tuxpan",""
"8","Cucurbita_radicans",19.434167,-99.138611,"CWR_OCC","H","Andres","","19434445","","Cucurbita","Mexico","Valley of Mexico",""
"9","Cucurbita_radicans",27.667599,-113.596575,"CWR_OCC","H","Andres","","19434447","","Cucurbita","Mexico","cerca del Rancho Nuevo  4 km. N de Huehuetoca",""
"10","Cucurbita_radicans",19.191741,-99.041885,"CWR_OCC","H","Andres","","19434448","","Cucurbita","Mexico","SW of Mexico City  and about 2 km. W of Milpa Alta",""
"11","Cucurbita_radicans",20.868922,-102.235561,"CWR_OCC","H","Andres","","19434449","","Cucurbita","Mexico","Sierra del Halo  near a lumber road leaving the Colima hwy.  7 mi. SSW of Tecalitln and extending SE toward San Isidro  2 mi. from the hwy.",""
"12","Cucurbita_radicans",20.666823,-103.391824,"CWR_OCC","H","Andres","","19434450","","Cucurbita","Mexico","Guadalajara-Chapala hwy.  2 mi. before Chapala",""
"13","Cucurbita_radicans",16.30922,-91.867626,"CWR_OCC","H","Andres","","19434451","","Cucurbita","Mexico","near Morelia",""
"14","Cucurbita_radicans",16.30922,-91.867626,"CWR_OCC","H","Andres","","19434452","","Cucurbita","Mexico","vicinity of Morelia  Punguato",""
"15","Cucurbita_radicans",24.371876,-106.040836,"CWR_OCC","H","Andres","","19434455","","Cucurbita","Mexico","alrededores de Ciudad Sahagn",""
"16","Cucurbita_radicans",19.666667,-99,"CWR_OCC","H","Andres","","19434456","","Cucurbita","Mexico","Valle de Mexico",""
"17","Cucurbita_radicans",19.628055,-99.002748,"CWR_OCC","H","Andres","","19434457","","Cucurbita","Mexico","Cerro Chiconautla  vertiente S",""
"18","Cucurbita_radicans",20.474208,-103.446536,"CWR_OCC","H","Andres","","19434459","","Cucurbita","Mexico","near Tlajomulco",""
"19","Cucurbita_radicans",19.434167,-99.138611,"CWR_OCC","H","Andres","","19434460","","Cucurbita","Mexico","Valley of Mexico",""
"20","Cucurbita_radicans",16.30922,-91.867626,"CWR_OCC","H","Andres","","19434461","","Cucurbita","Mexico","vicinity of Morelia  Punguato",""
"21","Cucurbita_radicans",19.916917,-103.02043,"CWR_OCC","H","Andres","","19434463","","Cucurbita","Mexico","km. 3 on main road Tuxcueca-Mazamitla",""
"22","Cucurbita_radicans",20.161375,-103.043966,"CWR_OCC","H","Andres","","19434464","","Cucurbita","Mexico","rocky slopes of Lake Chapala near Tizapan",""
"23","Cucurbita_radicans",19.598509,-103.312496,"CWR_OCC","H","Andres","","19434466","","Cucurbita","Mexico","hills along Hwy. 110  approaching Tamazula  0.7 mi. W of Valadero",""
"24","Cucurbita_radicans",20.212493,-100.879233,"CWR_OCC","H","Andres","PI 442180","19434467","","Cucurbita","Mexico","at Km. 25  Acambaro-Salvatierra Hwy.",""
"25","Cucurbita_radicans",20.326412,-103.478406,"CWR_OCC","H","Andres","","19434468","","Cucurbita","Mexico","S face  above Zapotitan de Hidalgo  a village about 1 mi. N of Hwy. Mex. 15  about 25 mi. due S  or 45 road mi. from Guadalajara",""
"26","Cucurbita_radicans",19.666667,-99,"CWR_OCC","H","Andres","","19434469","","Cucurbita","Mexico","sous les rocher J''une montagne prs Guadalupe valle de Mexico",""
"27","Cucurbita_radicans",20.681359,-103.391824,"CWR_OCC","H","Andres","","19434470","","Cucurbita","Mexico","Cerro Viejo  S face  above Zapotitln de Hidalgo  a village about 1 mi. N of Hwy. Mex. 15  about 25 mi. due S  or 45 road mi. from Guadalajara",""
"28","Cucurbita_radicans",19.403756,-99.287361,"CWR_OCC","H","Andres","","19434474","","Cucurbita","Mexico","San Bartolito  above Ro Verde",""
"29","Cucurbita_radicans",19.257848,-99.105126,"CWR_OCC","H","Andres","","19434477","","Cucurbita","Mexico","S of Mexico City  near Xochimilco",""
"30","Cucurbita_radicans",18.166667,-92.9,"CWR_OCC","H","Andres","","19435323","","Cucurbita","Mexico","Cerro Chilacayo  to the S of Pahuacn",""
"31","Cucurbita_radicans",15.7422,-90.1792,"GBIF","H","F","1228497917","1228497917","PRESERVED_SPECIMEN","Cucurbita","GT","","wild"
"32","Cucurbita_radicans",15.7422,-90.1792,"GBIF","H","Bioversity","1302637787","1302637787","UNKNOWN","Cucurbita","GT","","wild"
"33","Cucurbita_radicans",18.65917,-96.11583,"GBIF","H","G","1144588463","1144588463","PRESERVED_SPECIMEN","Cucurbita","MX","Veracruz - VallÃ©e de Cordova/Estado de Veracruz-Llave","wild"
"34","Cucurbita_radicans",19.090833,-98.810833,"GBIF","H","ENCB-IPN","1421661333","1421661333","PRESERVED_SPECIMEN","Cucurbita","MX","CERRO CHILACAYO  AL S DE PAHUACA","wild"
"35","Cucurbita_radicans",19.090833,-98.810833,"GBIF","H","ENCB-IPN","1421661327","1421661327","PRESERVED_SPECIMEN","Cucurbita","MX","CERRO CHILACAYO  AL S DE PAHUACA","wild"
"36","Cucurbita_radicans",19.106667,-98.81,"GBIF","H","INECOL","1421093687","1421093687","PRESERVED_SPECIMEN","Cucurbita","MX","CERRO CHILACAYO AL S DE PAHUACAN  MPIO. AMECAMECA  EDO. DE MEXICO","wild"
"37","Cucurbita_radicans",19.108333,-98.808333,"GBIF","H","CU","1421514286","1421514286","PRESERVED_SPECIMEN","Cucurbita","MX","Cerro Chilacayo  al S de PahuacÃ¡n.","wild"
"38","Cucurbita_radicans",19.108333,-98.808333,"GBIF","H","CU","1418146833","1418146833","PRESERVED_SPECIMEN","Cucurbita","MX","Cerro Chilacayo  al S de PahuacÃ¡n","wild"
"39","Cucurbita_radicans",19.1667,-101.8333,"GBIF","H","F","1228420107","1228420107","PRESERVED_SPECIMEN","Cucurbita","MX","","wild"
"40","Cucurbita_radicans",19.1667,-101.8333,"GBIF","H","Bioversity","1302637765","1302637765","UNKNOWN","Cucurbita","MX","","wild"
"41","Cucurbita_radicans",19.183333,-99.017778,"GBIF","H","UM","1438858466","1438858466","PRESERVED_SPECIMEN","Cucurbita","MX","SW of Mexico city and about 2 km W of Milpa Alta","wild"
"42","Cucurbita_radicans",19.191667,-99.191667,"GBIF","H","INIFAP-CECOY","1421834602","1421834602","PRESERVED_SPECIMEN","Cucurbita","MX","Cerro del Oyameyo  Sierra del Ajusco.","wild"
"43","Cucurbita_radicans",19.191667,-99.025,"GBIF","H","UM","1421515538","1421515538","PRESERVED_SPECIMEN","Cucurbita","MX","SW of Mexico city and about 2 km W of Milpa Alta.","wild"
"44","Cucurbita_radicans",19.241667,-101.458333,"GBIF","H","BNHM-UCB","1418147996","1418147996","PRESERVED_SPECIMEN","Cucurbita","MX","North of Tacambaro at Cahvinda","wild"
"45","Cucurbita_radicans",19.241667,-101.458333,"GBIF","H","SNM","1421514435","1421514435","PRESERVED_SPECIMEN","Cucurbita","MX","North of Tacambaro at Cahvinda.","wild"
"46","Cucurbita_radicans",19.275,-99.125,"GBIF","H","CU","1418145436","1418145436","PRESERVED_SPECIMEN","Cucurbita","MX","S of Mexico city  near Xochimilco","wild"
"47","Cucurbita_radicans",19.275,-99.108333,"GBIF","H","CU","1421512856","1421512856","PRESERVED_SPECIMEN","Cucurbita","MX","Valle de MÃ©xico.","wild"
"48","Cucurbita_radicans",19.275,-99.108333,"GBIF","H","CU","1421512790","1421512790","PRESERVED_SPECIMEN","Cucurbita","MX","S of Mexico city  near Xochimilco.","wild"
"49","Cucurbita_radicans",19.275,-99.108333,"GBIF","H","CU","1418148625","1418148625","PRESERVED_SPECIMEN","Cucurbita","MX","Valle de MÃ©xico  Tepepan","wild"
"50","Cucurbita_radicans",19.365,-102.065,"GBIF","H","INECOL","1420955691","1420955691","PRESERVED_SPECIMEN","Cucurbita","MX","EL VIVERO  BARRANCA DE CUPATITZIO","wild"
"51","Cucurbita_radicans",19.391667,-99.025,"GBIF","H","ENCB-IPN","1438860257","1438860257","PRESERVED_SPECIMEN","Cucurbita","MX","Valle de MÃ©xico  PeÃ±on Viejo","wild"
"52","Cucurbita_radicans",19.391667,-99.025,"GBIF","H","ENCB-IPN","1421514933","1421514933","PRESERVED_SPECIMEN","Cucurbita","MX","Valle de MÃ©xico. PeÃ±on Viejo.","wild"
"53","Cucurbita_radicans",19.391667,-99.025,"GBIF","H","IBUNAM","1438860201","1438860201","PRESERVED_SPECIMEN","Cucurbita","MX","Valle de MÃ©xico  PeÃ±on Viejo","wild"
