"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_argyrosperma_subsp._argyrosperma",20.48,-98.89,"CWR_OCC","H","Bioversity","","2017318","","Cucurbita","Mexico","","cultivated"
"2","Cucurbita_argyrosperma_subsp._argyrosperma",19.32,-97.74,"CWR_OCC","H","Bioversity","","2017319","","Cucurbita","Mexico","","cultivated"
"3","Cucurbita_argyrosperma_subsp._argyrosperma",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017320","","Cucurbita","Mexico","","cultivated"
"4","Cucurbita_argyrosperma_subsp._argyrosperma",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017321","","Cucurbita","Mexico","","cultivated"
"5","Cucurbita_argyrosperma_subsp._argyrosperma",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017322","","Cucurbita","Mexico","","cultivated"
"6","Cucurbita_argyrosperma_subsp._argyrosperma",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017323","","Cucurbita","Mexico","","cultivated"
"7","Cucurbita_argyrosperma_subsp._argyrosperma",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017324","","Cucurbita","Mexico","","cultivated"
"8","Cucurbita_argyrosperma_subsp._argyrosperma",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017325","","Cucurbita","Mexico","","cultivated"
"9","Cucurbita_argyrosperma_subsp._argyrosperma",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017326","","Cucurbita","Mexico","","cultivated"
"10","Cucurbita_argyrosperma_subsp._argyrosperma",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017327","","Cucurbita","Mexico","","cultivated"
"11","Cucurbita_argyrosperma_subsp._argyrosperma",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017328","","Cucurbita","Mexico","","cultivated"
"12","Cucurbita_argyrosperma_subsp._argyrosperma",16.25,-92.26,"CWR_OCC","H","Bioversity","","2017329","","Cucurbita","Mexico","","cultivated"
"13","Cucurbita_argyrosperma_subsp._argyrosperma",16.25,-92.26,"CWR_OCC","H","Bioversity","","2017330","","Cucurbita","Mexico","","cultivated"
"14","Cucurbita_argyrosperma_subsp._argyrosperma",17.68,-100.1,"CWR_OCC","H","Bioversity","","2017331","","Cucurbita","Mexico","","cultivated"
"15","Cucurbita_argyrosperma_subsp._argyrosperma",17.68,-100.1,"CWR_OCC","H","Bioversity","","2017332","","Cucurbita","Mexico","","cultivated"
