"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_maxima",-34,150.6666667,"CWR_OCC","H","AVH","","62344","","Cucurbita","Australia","",""
"2","Cucurbita_maxima",-34,150.8333333,"CWR_OCC","H","AVH","","62342","","Cucurbita","Australia","",""
"3","Cucurbita_maxima",-33.83333333,151.1666667,"CWR_OCC","H","AVH","","62341","","Cucurbita","Australia","",""
"4","Cucurbita_maxima",-36,147,"CWR_OCC","H","AVH","","62343","","Cucurbita","Australia","",""
"5","Cucurbita_maxima",-33.83333333,151.1666667,"CWR_OCC","H","AVH","","62341","","Cucurbita","Australia","",""
"6","Cucurbita_maxima",-11.05,28.9,"CWR_OCC","H","Bioversity","PI 500532","2017724","","Cucurbita","Zambia","Mansa  Roadside field","cultivated"
"7","Cucurbita_maxima",30.31,-5.82,"CWR_OCC","H","Bioversity","","2017635","","Cucurbita","Morocco","Zaouite Sid Elbaghdad","cultivated"
"8","Cucurbita_maxima",-17,27,"CWR_OCC","H","Bioversity","PI 500467","2017666","","Cucurbita","Zambia","Simunchembu","cultivated"
"9","Cucurbita_maxima",-9.53,28.9,"CWR_OCC","H","Bioversity","PI 500535","2017726","","Cucurbita","Zambia","Mulwe","cultivated"
"10","Cucurbita_maxima",38.75,-0.03,"CWR_OCC","H","Bioversity","PI 512674","2017612","","Cucurbita","Spain","1 km W of Xalo","cultivated"
"11","Cucurbita_maxima",-11.23,29.06,"CWR_OCC","H","Bioversity","PI 500524","2017716","","Cucurbita","Zambia","Kale","cultivated"
"12","Cucurbita_maxima",30.38,-7.34,"CWR_OCC","H","Bioversity","","2017628","","Cucurbita","Morocco","Tazarine","cultivated"
"13","Cucurbita_maxima",-27.46,-58.83,"CWR_OCC","H","Bioversity","PI 458661","2017781","","Cucurbita","Argentina","Corrientes","cultivated"
"14","Cucurbita_maxima",40.36,-1.46,"CWR_OCC","H","Bioversity","PI 512660","2017601","","Cucurbita","Spain","1.5 km E of Albarracin","cultivated"
"15","Cucurbita_maxima",-17.15,26.35,"CWR_OCC","H","Bioversity","PI 500461","2017661","","Cucurbita","Zambia","Another village after Kanchele","cultivated"
"16","Cucurbita_maxima",38.51,-0.36,"CWR_OCC","H","Bioversity","PI 512687","2017622","","Cucurbita","Spain","0.5 km W of Aguas de Bujot","cultivated"
"17","Cucurbita_maxima",-34.62,-58.44,"CWR_OCC","H","Bioversity","PI 458708","2017766","","Cucurbita","Argentina","Vavilov Laboratory","cultivated"
"18","Cucurbita_maxima",-13.38,28.21,"CWR_OCC","H","Bioversity","PI 500514","2017706","","Cucurbita","Zambia","Ztembo","cultivated"
"19","Cucurbita_maxima",30.81,30.84,"CWR_OCC","H","Bioversity","","2017641","","Cucurbita","Egypt","","cultivated"
"20","Cucurbita_maxima",-20.43,30.28,"CWR_OCC","H","Bioversity","PI 482476","2017729","","Cucurbita","Zimbabwe","7 km N of Zurubi BC","cultivated"
"21","Cucurbita_maxima",-34.62,-58.44,"CWR_OCC","H","Bioversity","PI 458720","2017778","","Cucurbita","Argentina","Vavilov Laboratory","cultivated"
"22","Cucurbita_maxima",-18.83,29.05,"CWR_OCC","H","Bioversity","PI 482470","2017745","","Cucurbita","Zimbabwe","32.6 km W of Crossroads","cultivated"
"23","Cucurbita_maxima",-19.71,30.16,"CWR_OCC","H","Bioversity","PI 482474","2017727","","Cucurbita","Zimbabwe","3 km N of Donga","cultivated"
"24","Cucurbita_maxima",-18.01,32.65,"CWR_OCC","H","Bioversity","PI 482478","2017731","","Cucurbita","Zimbabwe","4 km E of Nyatate BC","cultivated"
"25","Cucurbita_maxima",-20.2,30.43,"CWR_OCC","H","Bioversity","PI 482466","2017742","","Cucurbita","Zimbabwe","9 km N of Chibi Do","cultivated"
"26","Cucurbita_maxima",-16.81,27.13,"CWR_OCC","H","Bioversity","PI 500465","2017639","","Cucurbita","Zambia","Siachimputi","cultivated"
"27","Cucurbita_maxima",38.68,-0.8,"CWR_OCC","H","Bioversity","PI 512827","2017616","","Cucurbita","Spain","0.2 km E of Canada","cultivated"
"28","Cucurbita_maxima",-14.96,22.6,"CWR_OCC","H","Bioversity","PI 500482","2017679","","Cucurbita","Zambia","Loke","cultivated"
"29","Cucurbita_maxima",-12.65,28.3,"CWR_OCC","H","Bioversity","PI 500507","2017699","","Cucurbita","Zambia","Machilikaphiri","cultivated"
"30","Cucurbita_maxima",-13.4,28.1,"CWR_OCC","H","Bioversity","PI 500517","2017709","","Cucurbita","Zambia","Mfukwe","cultivated"
"31","Cucurbita_maxima",-13.25,22.75,"CWR_OCC","H","Bioversity","PI 494834","2017754","","Cucurbita","Zambia","Chikumina  25 km E of Chavuma","cultivated"
"32","Cucurbita_maxima",-16,27,"CWR_OCC","H","Bioversity","PI 500464","2017664","","Cucurbita","Zambia","Fundabanyama","cultivated"
"33","Cucurbita_maxima",-33.864174,151.2052868,"CWR_OCC","H","AVH","","62345","","Cucurbita","Australia","",""
"34","Cucurbita_maxima",-34.62,-58.44,"CWR_OCC","H","Bioversity","PI 458715","2017773","","Cucurbita","Argentina","Vavilov Laboratory","cultivated"
"35","Cucurbita_maxima",-11.3,29.23,"CWR_OCC","H","Bioversity","PI 500527","2017719","","Cucurbita","Zambia","Mufuma","cultivated"
"36","Cucurbita_maxima",-34.62,-58.44,"CWR_OCC","H","Bioversity","PI 458710","2017768","","Cucurbita","Argentina","Vavilov Laboratory","cultivated"
"37","Cucurbita_maxima",-13,28.1,"CWR_OCC","H","Bioversity","PI 500519","2017711","","Cucurbita","Zambia","Chitumbo","cultivated"
"38","Cucurbita_maxima",-14.5,24.81,"CWR_OCC","H","Bioversity","PI 500499","2017693","","Cucurbita","Zambia","Suyoyelo","cultivated"
"39","Cucurbita_maxima",30.67,-8.85,"CWR_OCC","H","Bioversity","","2017631","","Cucurbita","Morocco","Ait Ouassif","cultivated"
"40","Cucurbita_maxima",-20.86,32.21,"CWR_OCC","H","Bioversity","PI 482481","2017734","","Cucurbita","Zimbabwe","4 km NE of Machona School","cultivated"
"41","Cucurbita_maxima",38.68,-0.8,"CWR_OCC","H","Bioversity","PI 512678","2017614","","Cucurbita","Spain","0.2 km E of Canada","cultivated"
"42","Cucurbita_maxima",31.02,-7.8,"CWR_OCC","H","Bioversity","","2017633","","Cucurbita","Morocco","Tagounite  3 km towards Zagora","cultivated"
"43","Cucurbita_maxima",-34.62,-58.44,"CWR_OCC","H","Bioversity","PI 458709","2017767","","Cucurbita","Argentina","Vavilov Laboratory","cultivated"
"44","Cucurbita_maxima",-15.06,22.3,"CWR_OCC","H","Bioversity","PI 500477","2017675","","Cucurbita","Zambia","Kalyata","cultivated"
"45","Cucurbita_maxima",-15.11,22.68,"CWR_OCC","H","Bioversity","PI 500485","2017682","","Cucurbita","Zambia","Kasaku","cultivated"
"46","Cucurbita_maxima",-13.36,29.36,"CWR_OCC","H","Bioversity","PI 500443","2017646","","Cucurbita","Zambia","Mwelwa","cultivated"
