"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_maxima_subsp._maxima",-31.72,-60.53,"GBIF","H","SI","416892230","416892230","PRESERVED_SPECIMEN","Cucurbita","AR","ParanÃ¡  borde de camino en el embarcadero","cultivated"
"2","Cucurbita_maxima_subsp._maxima",-29.98,-59.28,"GBIF","H","CTES","1420237275","1420237275","PRESERVED_SPECIMEN","Cucurbita","AR","RÃ­o Corriente y ruta 12.","cultivated"
"3","Cucurbita_maxima_subsp._maxima",-28.21,-56.23,"GBIF","H","CTES","1420237262","1420237262","PRESERVED_SPECIMEN","Cucurbita","AR","Estancia Garruchos  casco.","cultivated"
"4","Cucurbita_maxima_subsp._maxima",-27.5,-58.77,"GBIF","H","CTES","1420237249","1420237249","PRESERVED_SPECIMEN","Cucurbita","AR","Escuela de Agricultura.","cultivated"
"5","Cucurbita_maxima_subsp._maxima",-25.11,-65.59,"GBIF","H","SI","416892232","416892232","PRESERVED_SPECIMEN","Cucurbita","AR","Chicoana","cultivated"
"6","Cucurbita_maxima_subsp._maxima",-24.24,-65.09,"GBIF","H","SI","416892365","416892365","PRESERVED_SPECIMEN","Cucurbita","AR","Mina 9 de Octubre","cultivated"
"7","Cucurbita_maxima_subsp._maxima",-24.11,-65.41,"GBIF","H","SI","416892210","416892210","PRESERVED_SPECIMEN","Cucurbita","AR","San Salvador de Jujuy","cultivated"
"8","Cucurbita_maxima_subsp._maxima",-23.82,-62.11,"GBIF","H","SI","416892382","416892382","PRESERVED_SPECIMEN","Cucurbita","AR","Ingeniero G.N. JuÃ¡rez","cultivated"
"9","Cucurbita_maxima_subsp._maxima",-21.758333,-61.525,"GBIF","H","NPGS-ARS-USDA","1421514897","1421514897","PRESERVED_SPECIMEN","Cucurbita","PY","Santa Rosa. Inta Station Experimental.","cultivated"
"10","Cucurbita_maxima_subsp._maxima",-21.758333,-61.525,"GBIF","H","NPGS-ARS-USDA","1421514895","1421514895","PRESERVED_SPECIMEN","Cucurbita","PY","Santa Rosa. Inta Station Experimental.","cultivated"
"11","Cucurbita_maxima_subsp._maxima",-21.758333,-61.525,"GBIF","H","NPGS-ARS-USDA","1421514877","1421514877","PRESERVED_SPECIMEN","Cucurbita","PY","Santa Rosa. Inta Station Experimental.","cultivated"
"12","Cucurbita_maxima_subsp._maxima",-16.808333,-67.225,"GBIF","H","CU","1421514266","1421514266","PRESERVED_SPECIMEN","Cucurbita","BO","Quime. Purchased in market and probably grown in region.","cultivated"
"13","Cucurbita_maxima_subsp._maxima",-16.191667,-67.741667,"GBIF","H","CU","1421514688","1421514688","PRESERVED_SPECIMEN","Cucurbita","BO","Purchased in markets in Coroico. Said to be grown locally and this is the season for it. Grown in small scale here. Only local C. ficifolia and gia","cultivated"
"14","Cucurbita_maxima_subsp._maxima",-8.758333,-63.758333,"GBIF","H","NYBG","1421514015","1421514015","PRESERVED_SPECIMEN","Cucurbita","BR","Porto Velho. Bought in market and said to be grown in region.","cultivated"
"15","Cucurbita_maxima_subsp._maxima",9.316667,42.116667,"GBIF","H","USDA_NPGS_GRIN","1304956214","1304956214","UNKNOWN","Cucurbita","ET","","cultivated"
"16","Cucurbita_maxima_subsp._maxima",9.31667,42.11667,"GBIF","H","USA005","40607718","40607718","UNKNOWN","Cucurbita","ET","Harar market.","cultivated"
"17","Cucurbita_maxima_subsp._maxima",40.0333,16.3,"GBIF","H","Bioversity-ECPGR","1301775031","1301775031","UNKNOWN","Cucurbita","IT","Region Basilikata  S. Costantino Albanese PZ","cultivated"
"18","Cucurbita_maxima_subsp._maxima",40.95,15.6667,"GBIF","H","Bioversity-ECPGR","1301774987","1301774987","UNKNOWN","Cucurbita","IT","Region Basilikata  in der Nahe von Barile PZ  Bauernhof Fucci","cultivated"
"19","Cucurbita_maxima_subsp._maxima",42.2861,22.9922,"GBIF","H","Bioversity-ECPGR","1301760793","1301760793","UNKNOWN","Cucurbita","BG","Pancarevo bei Bobovdol  Dupniza  Region Konjavska planina","cultivated"
"20","Cucurbita_maxima_subsp._maxima",42.2933,27.6183,"GBIF","H","Bioversity-ECPGR","1301713043","1301713043","UNKNOWN","Cucurbita","BG","Jasna poljana  Burgas  sÃ¼dliches Schwarzes Meer","cultivated"
"21","Cucurbita_maxima_subsp._maxima",42.48,-7.64667,"GBIF","H","Bioversity-ECPGR","1301696796","1301696796","UNKNOWN","Cucurbita","ES","Galizien  Provinz Lugo  Panton  Arribada","cultivated"
"22","Cucurbita_maxima_subsp._maxima",42.6253,27.5772,"GBIF","H","Bioversity-ECPGR","1301715442","1301715442","UNKNOWN","Cucurbita","BG","Kamenar  Burgas  mittleres Schwarzes Meer","cultivated"
"23","Cucurbita_maxima_subsp._maxima",43.5381,25.8703,"GBIF","H","Bioversity-ECPGR","1301655745","1301655745","UNKNOWN","Cucurbita","BG","Batischnica  Ruse  Nordbulgarien","cultivated"
"24","Cucurbita_maxima_subsp._maxima",46.75,16.3333,"GBIF","H","HUN003","121011090","121011090","PRESERVED_SPECIMEN","Cucurbita","HU","Magyarszombatfa","cultivated"
