"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_moschata",19.32,-97.74,"CWR_OCC","H","Bioversity","","2018019","","Cucurbita","Mexico","","cultivated"
"2","Cucurbita_moschata",20.63,-88.96,"CWR_OCC","H","Bioversity","","2018026","","Cucurbita","Mexico","","cultivated"
"3","Cucurbita_moschata",10.49,-75.15,"CWR_OCC","H","Bioversity","","2018018","","Cucurbita","Colombia","","cultivated"
"4","Cucurbita_moschata",20.48,-98.89,"CWR_OCC","H","Bioversity","","2018013","","Cucurbita","Mexico","","cultivated"
"5","Cucurbita_moschata",17.14,-96.21,"CWR_OCC","H","Bioversity","","2018071","","Cucurbita","Mexico","","cultivated"
"6","Cucurbita_moschata",16.25,-92.26,"CWR_OCC","H","Bioversity","","2018046","","Cucurbita","Mexico","","cultivated"
"7","Cucurbita_moschata",22.86,-100.31,"CWR_OCC","H","Bioversity","","2018068","","Cucurbita","Mexico","","cultivated"
"8","Cucurbita_moschata",19.14,-101.92,"CWR_OCC","H","Bioversity","","2018034","","Cucurbita","Mexico","","cultivated"
"9","Cucurbita_moschata",16.25,-92.26,"CWR_OCC","H","Bioversity","","2018040","","Cucurbita","Mexico","","cultivated"
"10","Cucurbita_moschata",16.25,-92.26,"CWR_OCC","H","Bioversity","","2018045","","Cucurbita","Mexico","","cultivated"
"11","Cucurbita_moschata",19.73,-88.05,"CWR_OCC","H","Bioversity","","2018054","","Cucurbita","Mexico","","cultivated"
"12","Cucurbita_moschata",16.25,-92.26,"CWR_OCC","H","Bioversity","","2018042","","Cucurbita","Mexico","","cultivated"
"13","Cucurbita_moschata",22.86,-100.31,"CWR_OCC","H","Bioversity","","2018067","","Cucurbita","Mexico","","cultivated"
"14","Cucurbita_moschata",17.14,-96.21,"CWR_OCC","H","Bioversity","","2018073","","Cucurbita","Mexico","","cultivated"
"15","Cucurbita_moschata",10.9,-74.68,"CWR_OCC","H","Bioversity","","2018078","","Cucurbita","Colombia","","cultivated"
"16","Cucurbita_moschata",19.14,-101.92,"CWR_OCC","H","Bioversity","","2018039","","Cucurbita","Mexico","","cultivated"
"17","Cucurbita_moschata",16.25,-92.26,"CWR_OCC","H","Bioversity","","2018041","","Cucurbita","Mexico","","cultivated"
"18","Cucurbita_moschata",19.14,-101.92,"CWR_OCC","H","Bioversity","","2018031","","Cucurbita","Mexico","","cultivated"
"19","Cucurbita_moschata",20.48,-98.89,"CWR_OCC","H","Bioversity","","2018005","","Cucurbita","Mexico","","cultivated"
"20","Cucurbita_moschata",23.07,-102.59,"CWR_OCC","H","Bioversity","","2018069","","Cucurbita","Mexico","","cultivated"
"21","Cucurbita_moschata",17.14,-96.21,"CWR_OCC","H","Bioversity","","2018074","","Cucurbita","Mexico","","cultivated"
"22","Cucurbita_moschata",16.25,-92.26,"CWR_OCC","H","Bioversity","","2018047","","Cucurbita","Mexico","","cultivated"
"23","Cucurbita_moschata",20.48,-98.89,"CWR_OCC","H","Bioversity","","2018007","","Cucurbita","Mexico","","cultivated"
"24","Cucurbita_moschata",19.32,-97.74,"CWR_OCC","H","Bioversity","","2018022","","Cucurbita","Mexico","","cultivated"
"25","Cucurbita_moschata",20.48,-98.89,"CWR_OCC","H","Bioversity","","2017997","","Cucurbita","Mexico","","cultivated"
"26","Cucurbita_moschata",19.73,-88.05,"CWR_OCC","H","Bioversity","","2018050","","Cucurbita","Mexico","","cultivated"
"27","Cucurbita_moschata",20.48,-98.89,"CWR_OCC","H","Bioversity","","2018012","","Cucurbita","Mexico","","cultivated"
"28","Cucurbita_moschata",42.16,-2.53,"CWR_OCC","H","Bioversity","PI 537553","2017981","","Cucurbita","Spain","0.3 km N of Santa Pau","cultivated"
"29","Cucurbita_moschata",19.14,-101.92,"CWR_OCC","H","Bioversity","","2018037","","Cucurbita","Mexico","","cultivated"
"30","Cucurbita_moschata",42.25,-2.83,"CWR_OCC","H","Bioversity","PI 537556","2017982","","Cucurbita","Spain","Borrasje","cultivated"
"31","Cucurbita_moschata",20.48,-98.89,"CWR_OCC","H","Bioversity","","2017992","","Cucurbita","Mexico","","cultivated"
"32","Cucurbita_moschata",-12.08333333,-77.01666667,"CWR_OCC","H","CUVC","","208495","","Cucurbita","Peru","Estacin Experimental del INIAA  La Molina.",""
