"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_pepo",-20.9175738,142.7027956,"CWR_OCC","H","AVH","","75595","","Cucurbita","Australia","",""
"2","Cucurbita_pepo",-34.62,-58.44,"CWR_OCC","H","Bioversity","PI 458731","2018689","","Cucurbita","Argentina","Vavilov Laboratory","cultivated"
"3","Cucurbita_pepo",19.45,-98.11,"CWR_OCC","H","Bioversity","","2018664","","Cucurbita","Mexico","","cultivated"
"4","Cucurbita_pepo",-12.9,28,"CWR_OCC","H","Bioversity","PI 500645","2018680","","Cucurbita","Zambia","Unise Salukano","cultivated"
"5","Cucurbita_pepo",27.51,89.31,"CWR_OCC","H","Bioversity","PI 481618","2018671","","Cucurbita","Bhutan","Chento at Drugged Dzory","cultivated"
"6","Cucurbita_pepo",-19.18,-64.31,"CWR_OCC","H","Bioversity","","2018722","","Cucurbita","Bolivia","Concepcion","cultivated"
"7","Cucurbita_pepo",27.26,91.36,"CWR_OCC","H","Bioversity","PI 481625","2018669","","Cucurbita","Bhutan","Ngachang","cultivated"
"8","Cucurbita_pepo",-28.16666667,152,"CWR_OCC","H","AVH","","75597","","Cucurbita","Australia","",""
"9","Cucurbita_pepo",36.95,-3.28,"CWR_OCC","H","Bioversity","PI 512665","2018581","","Cucurbita","Spain","1 km north of Portugos","cultivated"
"10","Cucurbita_pepo",17.68,-100.1,"CWR_OCC","H","Bioversity","","2018638","","Cucurbita","Mexico","","cultivated"
"11","Cucurbita_pepo",-14.33,-67.33,"CWR_OCC","H","Bioversity","","2018729","","Cucurbita","Bolivia","Villa Fatima","cultivated"
"12","Cucurbita_pepo",40.66,0.2,"CWR_OCC","H","Bioversity","PI 512834","2018614","","Cucurbita","Spain","4 km Pobla De Benifasar","cultivated"
"13","Cucurbita_pepo",41.16,0.8,"CWR_OCC","H","Bioversity","PI 512771","2018584","","Cucurbita","Spain","2 km Talset","cultivated"
"14","Cucurbita_pepo",39.13,21.78,"CWR_OCC","H","Bioversity","726","2018619","","Cucurbita","Greece","Neraida","cultivated"
"15","Cucurbita_pepo",-19.05,-64.91,"CWR_OCC","H","Bioversity","","2018717","","Cucurbita","Bolivia","Molle Mayo","cultivated"
"16","Cucurbita_pepo",27.51,89.81,"CWR_OCC","H","Bioversity","PI 481619","2018672","","Cucurbita","Bhutan","Mendigang  Sisidang","cultivated"
"17","Cucurbita_pepo",40.66,-0.58,"CWR_OCC","H","Bioversity","PI 512756","2018582","","Cucurbita","Spain","Amposta","cultivated"
"18","Cucurbita_pepo",-30.0002315,136.2091547,"CWR_OCC","H","AVH","","75603","","Cucurbita","Australia","",""
"19","Cucurbita_pepo",6.41,-72.5,"CWR_OCC","H","Bioversity","","2018709","","Cucurbita","Colombia","Alisal","cultivated"
"20","Cucurbita_pepo",41.29,19.51,"CWR_OCC","H","Bioversity","PEP 1579","2018707","","Cucurbita","Albania","Shkallnur  7 km SE of Durrs","cultivated"
"21","Cucurbita_pepo",39.56,-0.33,"CWR_OCC","H","Bioversity","PI 512873","2018598","","Cucurbita","Spain","Muserds","cultivated"
"22","Cucurbita_pepo",19.45,-98.11,"CWR_OCC","H","Bioversity","","2018658","","Cucurbita","Mexico","","cultivated"
"23","Cucurbita_pepo",20.48,-98.89,"CWR_OCC","H","Bioversity","","2018620","","Cucurbita","Mexico","","cultivated"
"24","Cucurbita_pepo",17.14,-96.21,"CWR_OCC","H","Bioversity","","2018642","","Cucurbita","Mexico","","cultivated"
"25","Cucurbita_pepo",27.35,89.61,"CWR_OCC","H","Bioversity","PI 481627","2018668","","Cucurbita","Bhutan","Sisina","cultivated"
"26","Cucurbita_pepo",-19.16,-64.5,"CWR_OCC","H","Bioversity","","2018718","","Cucurbita","Bolivia","Corso","cultivated"
"27","Cucurbita_pepo",-34.62,-58.44,"CWR_OCC","H","Bioversity","PI 458734","2018692","","Cucurbita","Argentina","Vavilov Laboratory","cultivated"
"28","Cucurbita_pepo",42.16,-2.53,"CWR_OCC","H","Bioversity","PI 537554","2018592","","Cucurbita","Spain","0.3 km N of Santa Pau","cultivated"
"29","Cucurbita_pepo",30.67,-8.85,"CWR_OCC","H","Bioversity","","2018666","","Cucurbita","Morocco","Ait Ouassif","cultivated"
"30","Cucurbita_pepo",40.05,-0.35,"CWR_OCC","H","Bioversity","PI 512868","2018616","","Cucurbita","Spain","Argelita","cultivated"
"31","Cucurbita_pepo",41.9,-8.75,"CWR_OCC","H","Bioversity","","2018704","","Cucurbita","Portugal","","cultivated"
"32","Cucurbita_pepo",-31.6293222,115.6879315,"CWR_OCC","H","AVH","","75605","","Cucurbita","Australia","",""
"33","Cucurbita_pepo",19.45,-98.11,"CWR_OCC","H","Bioversity","","2018657","","Cucurbita","Mexico","","cultivated"
"34","Cucurbita_pepo",-18.66,32.1,"CWR_OCC","H","Bioversity","PI 482590","2018667","","Cucurbita","Zimbabwe","2 km E of Tsanzaguru BC","cultivated"
"35","Cucurbita_pepo",-17.58,27.36,"CWR_OCC","H","Bioversity","PI 526251","2018688","","Cucurbita","Zimbabwe","Harare","cultivated"
"36","Cucurbita_pepo",37.99,13.28,"CWR_OCC","H","Bioversity","","2018700","","Cucurbita","Italy","Piana degli Albanesi","cultivated"
"37","Cucurbita_pepo",35.29,75.61,"CWR_OCC","H","Bioversity","","2018693","","Cucurbita","Pakistan","40 km before Skardu","cultivated"
"38","Cucurbita_pepo",19.45,-98.11,"CWR_OCC","H","Bioversity","","2018647","","Cucurbita","Mexico","","cultivated"
"39","Cucurbita_pepo",19.14,-101.92,"CWR_OCC","H","Bioversity","","2018626","","Cucurbita","Mexico","","cultivated"
"40","Cucurbita_pepo",19.14,-101.92,"CWR_OCC","H","Bioversity","","2018628","","Cucurbita","Mexico","","cultivated"
"41","Cucurbita_pepo",-20.9175738,142.7027956,"CWR_OCC","H","AVH","","75595","","Cucurbita","Australia","",""
"42","Cucurbita_pepo",-29.16666667,136.6666667,"CWR_OCC","H","AVH","","75601","","Cucurbita","Australia","",""
"43","Cucurbita_pepo",-34,150.8333333,"CWR_OCC","H","AVH","","75591","","Cucurbita","Australia","",""
"44","Cucurbita_pepo",-31.5,115.6666667,"CWR_OCC","H","AVH","","75592","","Cucurbita","Australia","",""
"45","Cucurbita_pepo",41.16,0.8,"CWR_OCC","H","Bioversity","PI 512772","2018585","","Cucurbita","Spain","2 km Talset","cultivated"
"46","Cucurbita_pepo",40.36,-1.46,"CWR_OCC","H","Bioversity","PI 512702","2018577","","Cucurbita","Spain","1.5 km E of Albarracin","cultivated"
"47","Cucurbita_pepo",-29.16666667,136.6666667,"CWR_OCC","H","AVH","","75601","","Cucurbita","Australia","",""
