"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_pepo_subsp._ovifera_var._ovifera",18.8333,-98,"CWR_OCC","H","Bioversity","16534","2416962","","Cucurbita","Mexico","",""
"2","Cucurbita_pepo_subsp._ovifera_var._ovifera",38,-98,"CWR_OCC","H","Bioversity","","2416972","","Cucurbita","United States","",""
"3","Cucurbita_pepo_subsp._ovifera_var._ovifera",29.645504,-98.223622,"CWR_OCC","H","HUH","","2677841","","Cucurbita","United States","North America;US and Canada;United States of America;Texas;Comal County;",""
"4","Cucurbita_pepo_subsp._ovifera_var._ovifera",42.58078,0.27758,"CWR_OCC","H","Bioversity","234940","2713912","","Cucurbita","Spain","Sin datos delocalidad",""
"5","Cucurbita_pepo_subsp._ovifera_var._ovifera",42.99855,-7.62969,"CWR_OCC","H","Bioversity","234939","2717337","","Cucurbita","Spain","Real Jardn Botnico",""
"6","Cucurbita_pepo_subsp._ovifera_var._ovifera",40.8701,-73.885691,"CWR_OCC","H","Bioversity","","3119356","","Cucurbita","United States","Purchased Bedford Park",""
"7","Cucurbita_pepo_subsp._ovifera_var._ovifera",41.35,60.72,"CWR_OCC","H","Bioversity","","2018685","","Cucurbita","Uzbekistan","32 km SW of Turtkul  collecting farm U. Jumaniyazova.plot 4","cultivated"
"8","Cucurbita_pepo_subsp._ovifera_var._ovifera",-40.65,175.266667,"GBIF","H","","1639383669","1639383669","PRESERVED_SPECIMEN","Cucurbita","NZ","","cultivated"
"9","Cucurbita_pepo_subsp._ovifera_var._ovifera",18.8333,-98,"GBIF","H","Bioversity","1302637279","1302637279","UNKNOWN","Cucurbita","MX","","cultivated"
"10","Cucurbita_pepo_subsp._ovifera_var._ovifera",19.225,-96.258333,"GBIF","H","INECOL","1419412770","1419412770","PRESERVED_SPECIMEN","Cucurbita","MX","TAMSA I","cultivated"
"11","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.31,-97.840556,"GBIF","H","NMNH-SI","1438858033","1438858033","PRESERVED_SPECIMEN","Cucurbita","MX","Hacienda Buena Vista","cultivated"
"12","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.31778,-99.02417,"GBIF","H","CNS-UT","1417783881","1417783881","PRESERVED_SPECIMEN","Cucurbita","MX","Mesa de Llera along rdside","cultivated"
"13","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.325,-99.008333,"GBIF","H","UM","1421512125","1421512125","PRESERVED_SPECIMEN","Cucurbita","MX","Mesa de Llera.","cultivated"
"14","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.325,-99.008333,"GBIF","H","UM","1418149820","1418149820","PRESERVED_SPECIMEN","Cucurbita","MX","Mesa de Llera","cultivated"
"15","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.36666,-99,"GBIF","H","MO","1259708565","1259708565","PRESERVED_SPECIMEN","Cucurbita","MX","De Canales  along hwy. Mex 85 near the microondas (microwave) tower  between Llera and Rancho Nuevo  5 km. (by air) NNE of Llera de Canales.","cultivated"
"16","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.375,-99.008333,"GBIF","H","CU","1438858854","1438858854","PRESERVED_SPECIMEN","Cucurbita","MX","Along Highway Mexico 85 near the microondas (microwave) tower on Mesa La Sandia  between Llera and Rancho Nuevo  5 km (by air) NNE of Llera de Canales","cultivated"
"17","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.375,-99.008333,"GBIF","H","CU","1421514842","1421514842","PRESERVED_SPECIMEN","Cucurbita","MX","Along Hwy. Mex. 85 near the microondas (microwave) tower on Mesa La Sandia  between Llera and Rancho Nuevo  5 km (by air) NNE of Llera de Canales.","cultivated"
"18","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.375,-99.008333,"GBIF","H","CU","1421514829","1421514829","PRESERVED_SPECIMEN","Cucurbita","MX","Along Hyw Mex. 85 near the Microondas (microwave) tower  between Llera and Rancho Nuevo  5 km (by air) NNE of Llera de Canales.","cultivated"
"19","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.375,-99.008333,"GBIF","H","CU","1418147669","1418147669","PRESERVED_SPECIMEN","Cucurbita","MX","Along Highway Mexico 85 near the microondas (microwave) tower on Mesa La Sandia  between Llera and Rancho Nuevo  5 km (by air) NNE of Llera de Canales","cultivated"
"20","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.4,-99,"GBIF","H","MOBOT","370357714","370357714","UNKNOWN","Cucurbita","MX","At Rancho Nuevo  along Hwy. Mex 85  6.5 Km S of monument to the Tropic of Cancer and 10 Km (by air) NNE of Llera de Canalaes and 10 Km (by air)","cultivated"
"21","Cucurbita_pepo_subsp._ovifera_var._ovifera",23.408333,-99.008333,"GBIF","H","CU","1421513486","1421513486","PRESERVED_SPECIMEN","Cucurbita","MX","At Rancho Nuevo  along Hwy. Mex. 85  6.5 km S of monument to the Tropic of Cancer and 10 km (by air) NNE of Llera de Canales.","cultivated"
