"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_pepo_subsp._pepo",-41.1227,174.8352,"GBIF","H","WELT","1654383301","1654383301","PRESERVED_SPECIMEN","Cucurbita","NZ","","cultivated"
"2","Cucurbita_pepo_subsp._pepo",0.008333,-0.008333,"GBIF","H","CU","1421512548","1421512548","PRESERVED_SPECIMEN","Cucurbita","MX","Between Palmillas and La PeÃ±a on road to Miquihuana.","cultivated"
"3","Cucurbita_pepo_subsp._pepo",9.18888,-78.88472,"GBIF","H","MO","1259000693","1259000693","PRESERVED_SPECIMEN","Cucurbita","PA","Near RÃ­o Bayano dam site","cultivated"
"4","Cucurbita_pepo_subsp._pepo",13.05,-85.91666,"GBIF","H","MO","1260302907","1260302907","PRESERVED_SPECIMEN","Cucurbita","NI","Along road to La Fundadora  about 5 km N of Santa MarÃ­a de Ostuma  Cordillera Central de Nicaragua; montane rain forest or cloud forest","cultivated"
"5","Cucurbita_pepo_subsp._pepo",14.618011,-90.524568,"GBIF","H","MOBOT","1421515883","1421515883","PRESERVED_SPECIMEN","Cucurbita","GT","Guatemala City.","cultivated"
"6","Cucurbita_pepo_subsp._pepo",15.008056,-87.633333,"GBIF","H","MO","1261261899","1261261899","PRESERVED_SPECIMEN","Cucurbita","HN","La Conce  orilla del rÃ­o Sulaco  28 km E y 4 km N de Santa Cruz de Yojoa.","cultivated"
"7","Cucurbita_pepo_subsp._pepo",15.725,-99.991667,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421515721","1421515721","PRESERVED_SPECIMEN","Cucurbita","MX","San MartÃ­n.","cultivated"
"8","Cucurbita_pepo_subsp._pepo",15.725,-99.991667,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421515660","1421515660","PRESERVED_SPECIMEN","Cucurbita","MX","San MartÃ­n.","cultivated"
"9","Cucurbita_pepo_subsp._pepo",16.341667,-96.608333,"GBIF","H","IRENAT-CP","1421517105","1421517105","PRESERVED_SPECIMEN","Cucurbita","MX","Mercado de MiahuatlÃ¡n. km 90 of the road Oaxaca-Puerto Angel.","cultivated"
"10","Cucurbita_pepo_subsp._pepo",16.358333,-98.175,"GBIF","H","NPGS-ARS-USDA","1421514854","1421514854","PRESERVED_SPECIMEN","Cucurbita","MX","4 km NE of Tlaxcala on Carretera 117.","cultivated"
"11","Cucurbita_pepo_subsp._pepo",16.358333,-91.858333,"GBIF","H","IBUNAM","1421514393","1421514393","PRESERVED_SPECIMEN","Cucurbita","MX","Colonia Ignacio Zaragoza  31 km al ENE de ComitÃ¡n.","cultivated"
"12","Cucurbita_pepo_subsp._pepo",16.358333,-91.858333,"GBIF","H","IBUNAM","1421513521","1421513521","PRESERVED_SPECIMEN","Cucurbita","MX","El Encanto  26 km al ENE de ComitÃ¡n  rumbo a Colonia I. Zaragoza.","cultivated"
"13","Cucurbita_pepo_subsp._pepo",16.708333,-92.508333,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421513291","1421513291","PRESERVED_SPECIMEN","Cucurbita","MX","NO DISPONIBLE","cultivated"
"14","Cucurbita_pepo_subsp._pepo",16.708333,-92.508333,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421513217","1421513217","PRESERVED_SPECIMEN","Cucurbita","MX","HuistÃ¡n.","cultivated"
"15","Cucurbita_pepo_subsp._pepo",16.741667,-96.391667,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421513841","1421513841","PRESERVED_SPECIMEN","Cucurbita","MX","Cruc. San Dionicio.","cultivated"
"16","Cucurbita_pepo_subsp._pepo",16.741667,-92.658333,"GBIF","H","CAS","1421515166","1421515166","PRESERVED_SPECIMEN","Cucurbita","MX","San CristÃ³bal las Casas.","cultivated"
"17","Cucurbita_pepo_subsp._pepo",16.741667,-92.658333,"GBIF","H","CAS","1421514847","1421514847","PRESERVED_SPECIMEN","Cucurbita","MX","San CristÃ³bal las Casas.","cultivated"
"18","Cucurbita_pepo_subsp._pepo",16.741667,-92.408333,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421514074","1421514074","PRESERVED_SPECIMEN","Cucurbita","MX","San Dionicio Ocotepec.","cultivated"
"19","Cucurbita_pepo_subsp._pepo",16.758333,-93.658333,"GBIF","H","CAS","1421517110","1421517110","PRESERVED_SPECIMEN","Cucurbita","MX","N edge of San CristÃ³bal de las Casas.","cultivated"
"20","Cucurbita_pepo_subsp._pepo",16.758333,-92.391667,"GBIF","H","NO DISPONIBLE","1421513882","1421513882","PRESERVED_SPECIMEN","Cucurbita","MX","Chempil. 26 km E (by air) of San CristÃ³bal las Casas.","cultivated"
"21","Cucurbita_pepo_subsp._pepo",16.775,-92.741667,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421512925","1421512925","PRESERVED_SPECIMEN","Cucurbita","MX","San Juan Chamula.","cultivated"
"22","Cucurbita_pepo_subsp._pepo",16.791667,-96.341667,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421512309","1421512309","PRESERVED_SPECIMEN","Cucurbita","MX","San Dionicio Ocotepec.","cultivated"
"23","Cucurbita_pepo_subsp._pepo",16.791667,-92.825,"GBIF","H","CAS","1421512780","1421512780","PRESERVED_SPECIMEN","Cucurbita","MX","Along trail from ZinacantÃ¡n to Ixtapa.","cultivated"
"24","Cucurbita_pepo_subsp._pepo",16.791667,-92.825,"GBIF","H","CAS","1421512759","1421512759","PRESERVED_SPECIMEN","Cucurbita","MX","Along trail from ZinacantÃ¡n to Ixtapa.","cultivated"
"25","Cucurbita_pepo_subsp._pepo",16.791667,-92.775,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421514555","1421514555","PRESERVED_SPECIMEN","Cucurbita","MX","Cholol.","cultivated"
"26","Cucurbita_pepo_subsp._pepo",16.791667,-92.575,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421514068","1421514068","PRESERVED_SPECIMEN","Cucurbita","MX","San CristÃ³bal de las Casas.","cultivated"
"27","Cucurbita_pepo_subsp._pepo",16.825,-92.508333,"GBIF","H","CAS","1421513087","1421513087","PRESERVED_SPECIMEN","Cucurbita","MX","NO DISPONIBLE","cultivated"
"28","Cucurbita_pepo_subsp._pepo",16.891667,-96.341667,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421513179","1421513179","PRESERVED_SPECIMEN","Cucurbita","MX","Mitla.","cultivated"
"29","Cucurbita_pepo_subsp._pepo",16.925,-96.758333,"GBIF","H","CIRCE-CEBAJ-INIFAP","1421513019","1421513019","PRESERVED_SPECIMEN","Cucurbita","MX","El Punto  carretera 175.","cultivated"
