"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_argyrosperma",-33.04,-68.86,"CWR_OCC","H","Bioversity","PI 458721","2017396","","Cucurbita","Argentina","Instituto di Horticultura","cultivated"
"2","Cucurbita_argyrosperma",-33.04,-68.86,"CWR_OCC","H","Bioversity","PI 458722","2017397","","Cucurbita","Argentina","Instituto di Horticultura","cultivated"
"3","Cucurbita_argyrosperma",-33.04,-68.86,"CWR_OCC","H","Bioversity","PI 458723","2017398","","Cucurbita","Argentina","Instituto di Horticultura","cultivated"
"4","Cucurbita_argyrosperma",-33.04,-68.86,"CWR_OCC","H","Bioversity","PI 458724","2017399","","Cucurbita","Argentina","Instituto di Horticultura","cultivated"
"5","Cucurbita_argyrosperma",-33.04,-68.86,"CWR_OCC","H","Bioversity","PI 458725","2017400","","Cucurbita","Argentina","Instituto di Horticultura","cultivated"
"6","Cucurbita_argyrosperma",-33.04,-68.86,"CWR_OCC","H","Bioversity","PI 458726","2017401","","Cucurbita","Argentina","Instituto di Horticultura","cultivated"
"7","Cucurbita_argyrosperma",19.3333,-96.6667,"CWR_OCC","H","Bioversity","1981215","2416938","","Cucurbita","Mexico","",""
"8","Cucurbita_argyrosperma",19.3333,-96.6667,"CWR_OCC","H","Bioversity","1990154","2416939","","Cucurbita","Mexico","",""
"9","Cucurbita_argyrosperma",-2.205842,-79.907948,"CWR_OCC","H","Andres","","19433906","","Cucurbita","Ecuador","km. 21  Guayaquil to Daule",""
"10","Cucurbita_argyrosperma",27.526151,-100.99486,"CWR_OCC","H","Andres","","19434040","","Cucurbita","Mexico","1718 km. SE of Villa Unin  along Mex. Hwy. 15",""
"11","Cucurbita_argyrosperma",28.766667,-110.333333,"CWR_OCC","H","Andres","","19434069","","Cucurbita","Mexico","Vall de Cordova",""
"12","Cucurbita_argyrosperma",-33.049999,-68.866665,"GBIF","G","ITAl001|USA0023","1563639212","1563639212","LIVING_SPECIMEN","Cucurbita","AR","Instituto di Horticultura","cultivated"
"13","Cucurbita_argyrosperma",-33.049999,-68.866665,"GBIF","G","ITAl001|USA0023","1563634127","1563634127","LIVING_SPECIMEN","Cucurbita","AR","Instituto di Horticultura","cultivated"
"14","Cucurbita_argyrosperma",-33.049999,-68.866665,"GBIF","G","ITAl001|USA0023","1563583951","1563583951","LIVING_SPECIMEN","Cucurbita","AR","Instituto di Horticultura","cultivated"
