"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_argyrosperma_subsp._sororia",14.9141,-90.0981,"CWR_OCC","H","CIAT","","604","","Cucurbita","Guatemala","km 10 carretera a Coban (desvio a 12 km al E de El Progreso-Guastatoya; carretera Guatemala-Puerto Barrios)",""
"2","Cucurbita_argyrosperma_subsp._sororia",14.9815,-89.5281,"CWR_OCC","H","CIAT","","605","","Cucurbita","Guatemala","Baos termales de Santa Marta  north of Zacapa",""
"3","Cucurbita_argyrosperma_subsp._sororia",14.9792,-89.5222,"CWR_OCC","H","CIAT","","606","","Cucurbita","Guatemala","Vicinity of Zacapa.",""
"4","Cucurbita_argyrosperma_subsp._sororia",14.2701,-89.8923,"CWR_OCC","H","CIAT","","607","","Cucurbita","Guatemala","Between Jutiapa and La Calera  southeast of Jutiapa",""
"5","Cucurbita_argyrosperma_subsp._sororia",14.2925,-91.8176,"CWR_OCC","H","CIAT","","608","","Cucurbita","Guatemala","Vicinity of Champerico",""
"6","Cucurbita_argyrosperma_subsp._sororia",14.5361,-91.6778,"CWR_OCC","H","CIAT","","609","","Cucurbita","Guatemala","Vicinity of Retalhuleu.",""
"7","Cucurbita_argyrosperma_subsp._sororia",14.6755,-92.1448,"CWR_OCC","H","CIAT","","610","","Cucurbita","Guatemala","ro Suchiate  just west of Ayutla",""
"8","Cucurbita_argyrosperma_subsp._sororia",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017345","","Cucurbita","Mexico","","cultivated"
"9","Cucurbita_argyrosperma_subsp._sororia",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017346","","Cucurbita","Mexico","","cultivated"
"10","Cucurbita_argyrosperma_subsp._sororia",19.14,-101.92,"CWR_OCC","H","Bioversity","","2017347","","Cucurbita","Mexico","","cultivated"
"11","Cucurbita_argyrosperma_subsp._sororia",17.68,-100.1,"CWR_OCC","H","Bioversity","","2017348","","Cucurbita","Mexico","","cultivated"
"12","Cucurbita_argyrosperma_subsp._sororia",17.68,-100.1,"CWR_OCC","H","Bioversity","","2017349","","Cucurbita","Mexico","","cultivated"
"13","Cucurbita_argyrosperma_subsp._sororia",17.68,-100.1,"CWR_OCC","H","Bioversity","","2017350","","Cucurbita","Mexico","","cultivated"
